DAQ_time_end,VEventBit3,VEventBit2,VEventBit1,VEventBit0,VEventBit7,VEventBit6,VEventBit5,VEventBit4,run,VEventBit9,VEventBit8,fill,activeDetectors,lumi_seen,beamEnergy,beamType,VEventBit22,VEventBit23,VEventBit20,VEventBit21,VEventBit26,VEventBit27,VEventBit24,VEventBit25,VEventBit13,DAQ_time_start,VEventBit30,runDuration,VEventBit28,VEventBit29,partition,LHCBeamMode,VEventBit12,VEventBit11,VEventBit10,VEventBit17,VEventBit16,VEventBit15,VEventBit14,VEventBit19,VEventBit18,LHCperiod
1359986637.0,44093,0,23778,0,48206,0,0,0,196608,64185,44982,3524,ITSSPD ITSSDD ITSSSD TPC TOF HMPID PHOS MUONTRK MUONTRG T0 VZERO ZDC ACORDE EMCAL HLT TRD,49.120496234268046,4000.0,p-Pb,0,0,0,0,0,0,0,0,12192,1359985372.0,0,1265,347581,0,PHYSICS_1,STABLE BEAMS,0,175499,8447,0,0,13545,14980,0,0,LHC13f
1436381660.0,0,0,1274452,723300,49999,0,1446602,0,229376,18716,7321,3976,ITSSPD ITSSDD ITSSSD TPC TOF HMPID FMD T0 VZERO ACORDE AD MUONTRK MUONTRG,2332.826210770555,6500.0,p-p,0,0,0,360778,0,0,0,0,0,1436380241.0,0,1419,0,0,PHYSICS_1,STABLE BEAMS,0,161084,0,0,0,0,0,0,0,LHC15g
1436381653.0,0,0,0,103282,0,0,103282,0,229379,0,0,3976,PHOS ZDC,0.0,6500.0,p-p,0,0,0,70106,0,0,0,0,0,1436381117.0,0,536,0,0,PHYSICS_4,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436381715.0,0,0,0,0,0,0,0,0,229380,0,0,3976,EMCAL,0.0,6500.0,p-p,0,0,0,0,0,0,0,0,0,1436381288.0,0,427,0,0,PHYSICS_2,STABLE BEAMS,0,0,288095,0,0,0,0,0,0,LHC15g
1436382775.0,0,0,0,236373,0,0,236373,0,229382,0,0,3976,PHOS ZDC,0.0,6500.0,p-p,0,0,0,171158,0,0,0,0,0,1436381712.0,0,1063,0,0,PHYSICS_4,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436381054.0,0,0,0,114002,0,0,114002,0,229377,0,0,3976,PHOS ZDC,0.0,6500.0,p-p,0,0,0,75826,0,0,0,0,0,1436380465.0,0,589,0,0,PHYSICS_4,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436383232.0,0,0,0,0,36897,0,0,0,229386,15258,2455,3976,ITSSPD ITSSSD MUONTRK MUONTRG T0 VZERO AD,1428.2380020501444,6500.0,p-p,0,0,0,0,0,0,0,0,0,1436382852.0,0,380,0,0,PHYSICS_1,STABLE BEAMS,0,39426,0,0,0,0,0,0,0,LHC15g
1436383749.0,0,0,0,132257,0,0,132257,0,229387,0,0,3976,PHOS ZDC,0.0,6500.0,p-p,0,0,0,91467,0,0,0,0,0,1436383105.0,0,644,0,0,PHYSICS_4,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436383956.0,0,0,0,0,18964,0,0,0,229389,7630,1276,3976,ITSSPD ITSSSD MUONTRK MUONTRG T0 VZERO,1528.4115331957275,6500.0,p-p,0,0,0,0,0,0,0,0,0,1436383554.0,0,402,0,0,PHYSICS_1,STABLE BEAMS,0,20109,0,0,0,0,0,0,0,LHC15g
1436384135.0,0,0,0,64559,0,0,64559,0,229391,0,0,3976,PHOS ZDC,0.0,6500.0,p-p,0,0,0,47087,0,0,0,0,0,1436383775.0,0,360,0,0,PHYSICS_4,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436385092.0,0,0,0,80519,0,0,80519,0,229396,0,0,3976,PHOS ZDC,0.0,6500.0,p-p,0,0,0,56646,0,0,0,0,0,1436384681.0,0,411,0,0,PHYSICS_4,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436386715.0,0,0,0,0,150279,0,0,0,229398,61604,10006,3976,ITSSPD ITSSSD MUONTRK MUONTRG T0 VZERO,6191.593710620446,6500.0,p-p,0,0,0,0,0,0,0,0,0,1436385342.0,0,1373,0,0,PHYSICS_1,STABLE BEAMS,0,159527,0,0,0,0,0,0,0,LHC15g
1436385645.0,0,0,0,61031,0,0,61031,0,229399,0,0,3976,PHOS ZDC,0.0,6500.0,p-p,0,0,0,42661,0,0,0,0,0,1436385312.0,0,333,0,0,PHYSICS_4,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436386198.0,0,0,0,89583,0,0,89583,0,229402,0,0,3976,PHOS ZDC,0.0,6500.0,p-p,0,0,0,63079,0,0,0,0,0,1436385739.0,0,459,0,0,PHYSICS_4,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436386744.0,0,0,0,80889,0,0,80889,0,229403,0,0,3976,PHOS ZDC,0.0,6500.0,p-p,0,0,0,58749,0,0,0,0,0,1436386325.0,0,419,0,0,PHYSICS_4,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1436386877.0,0,0,207872,117494,0,0,228888,0,229404,0,0,3976,ITSSDD TPC TOF HMPID FMD ACORDE AD TRD,0.0,6500.0,p-p,0,0,0,64604,0,0,0,0,0,1436386473.0,0,404,0,0,PHYSICS_3,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC15g
1343520879.0,0,0,0,0,0,0,0,0,185690,0,0,2888,ITSSPD ITSSDD ITSSSD TPC TOF HMPID MUONTRG FMD T0 VZERO ACORDE EMCAL TRD,324.0877081967424,4000.0,p-p,0,0,0,0,0,0,0,0,0,1343520553.0,0,326,0,0,PHYSICS_1,STABLE BEAMS,0,0,0,0,0,0,0,0,0,LHC12d
