VEventBit3,beam_type,VEventBit1,VEventBit0,VEventBit7,VEventBit6,VEventBit5,VEventBit9,VEventBit8,lumi_seen,daq_time_end,VEventBit22,VEventBit23,VEventBit20,VEventBit21,VEventBit26,VEventBit24,VEventBit25,active_detectors,VEventBit2,run,VEventBit14,VEventBit28,lhc_beam_mode,run_duration,daq_time_start,beam_energy,partition,VEventBit13,VEventBit11,VEventBit10,VEventBit17,VEventBit16,VEventBit15,lhc_period,VEventBit19
,p-p,,319460,,,,,,5.56138549977306,1270091650.0,,,,,,,,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL,3818,114931,,,STABLE BEAMS,6265,1270085385.0,3500.0,PHYSICS_1,,,,,,,LHC10b,
,p-p,,1235786,,,,,,22.5374371986108,1270456322.0,,,,,,,,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS MUONTRK MUONTRG T0 VZERO ACORDE EMCAL,15478,115328,,,STABLE BEAMS,16584,1270439738.0,3500.0,PHYSICS_1,,,,,,,LHC10b,
,p-p,,719650,,,,,,13.105195151398108,1271508916.0,,,,,,,,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL,7307,116574,,,STABLE BEAMS,11986,1271496930.0,3500.0,PHYSICS_1,,,,,,,LHC10b,
,p-p,,2433876,,,,,,56.0574602234896,1272177113.0,,,,,,,,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS MUONTRK MUONTRG FMD T0 VZERO ZDC EMCAL,26754,117116,,,STABLE BEAMS,13672,1272163441.0,3500.0,PHYSICS_1,,,,,,,LHC10b,
,p-p,,1789745,,,,,,56.76862725439749,1272817982.0,,,,,,,,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC EMCAL,10118,118506,,,STABLE BEAMS,10048,1272807934.0,450.0,PHYSICS_1,,,,,,,LHC10c,
,p-p,,1766638,,,,,,59.00405297995227,1273481995.0,,,,,,,,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL,26228,119163,,,STABLE BEAMS,3983,1273478012.0,3500.0,PHYSICS_1,,,,,,,LHC10c,
,p-p,,5688313,,,,,,255.22078576255706,1278240734.0,,,,,,,,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL,91467,125085,,,STABLE BEAMS,9462,1278231272.0,3500.0,PHYSICS_1,,,,,,,LHC10d,
,p-p,,7998200,,,,,,860.3721244002281,1279333247.0,,,,,,,,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL,303266,126284,,,STABLE BEAMS,10645,1279322602.0,3500.0,PHYSICS_1,,,,,,,LHC10d,
,p-p,,5979917,,,,,,660.0201104581711,1279452570.0,,,,,,,,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL,265878,126404,,,STABLE BEAMS,7731,1279444839.0,3500.0,PHYSICS_1,,,,,,,LHC10d,
,p-p,,5179710,,,,,,435.5176218721398,1279467573.0,,,,,,,,ITSSPD ITSSDD ITSSSD TPC TRD TOF HMPID PHOS PMD MUONTRK MUONTRG FMD T0 VZERO ZDC ACORDE EMCAL,150673,126407,,,STABLE BEAMS,6901,1279460672.0,3500.0,PHYSICS_1,,,,,,,LHC10d,
