counts,trigger,run
300,C0LSR-ABCE-NOPF-TPC,125085
73183,CBEAMB-ABCE-NOPF-ALL,125085
4219,CINT1-E-NOPF-ALL,125085
16341,CINT1A-ABCE-NOPF-ALL,125085
5688313,CINT1B-ABCE-NOPF-ALL,125085
11524,CINT1C-ABCE-NOPF-ALL,125085
484,CMUS1A-ABCE-NOPF-MUON,125085
91467,CMUS1B-ABCE-NOPF-MUON,125085
300,C0LSR-ABCE-NOPF-TPC,126284
78765,CBEAMB-ABCE-NOPF-ALL,126284
3915,CINT1-E-NOPF-ALL,126284
20560,CINT1A-ABCE-NOPF-ALL,126284
7998200,CINT1B-ABCE-NOPF-ALL,126284
16293,CINT1C-ABCE-NOPF-ALL,126284
1350,CMUS1A-ABCE-NOPF-MUON,126284
303266,CMUS1B-ABCE-NOPF-MUON,126284
1,CMUS1C-ABCE-NOPF-MUON,126284
300,C0LSR-ABCE-NOPF-TPC,126404
58051,CBEAMB-ABCE-NOPF-ALL,126404
2989,CINT1-E-NOPF-ALL,126404
17034,CINT1A-ABCE-NOPF-ALL,126404
5979917,CINT1B-ABCE-NOPF-ALL,126404
12882,CINT1C-ABCE-NOPF-ALL,126404
1187,CMUS1A-ABCE-NOPF-MUON,126404
265878,CMUS1B-ABCE-NOPF-MUON,126404
200,C0LSR-ABCE-NOPF-TPC,126407
52428,CBEAMB-ABCE-NOPF-ALL,126407
3225,CINT1-E-NOPF-ALL,126407
17430,CINT1A-ABCE-NOPF-ALL,126407
5179710,CINT1B-ABCE-NOPF-ALL,126407
13355,CINT1C-ABCE-NOPF-ALL,126407
814,CMUS1A-ABCE-NOPF-MUON,126407
150673,CMUS1B-ABCE-NOPF-MUON,126407
300,C0LSR-ABCE-NOPF-TPC,126424
79581,CBEAMB-ABCE-NOPF-ALL,126424
3794,CINT1-E-NOPF-ALL,126424
21125,CINT1A-ABCE-NOPF-ALL,126424
7967680,CINT1B-ABCE-NOPF-ALL,126424
16628,CINT1C-ABCE-NOPF-ALL,126424
1138,CMUS1A-ABCE-NOPF-MUON,126424
262105,CMUS1B-ABCE-NOPF-MUON,126424
300,C0LSR-ABCE-NOPF-TPC,126432
80728,CBEAMB-ABCE-NOPF-ALL,126432
3793,CINT1-E-NOPF-ALL,126432
18844,CINT1A-ABCE-NOPF-ALL,126432
8379629,CINT1B-ABCE-NOPF-ALL,126432
16298,CINT1C-ABCE-NOPF-ALL,126432
1550,CMUS1A-ABCE-NOPF-MUON,126432
462141,CMUS1B-ABCE-NOPF-MUON,126432
2,CMUS1C-ABCE-NOPF-MUON,126432
