counts,trigger,run
100,C0LSR-ABCE-NOPF-TPC,148531
1000,CBEAMB-B-NOPF-ALLNOTRD,148531
5,CBEAMBWU-B-NOPF-ALL,148531
18317,CINT1-AC-NOPF-ALLNOTRD,148531
90293,CINT1-B-NOPF-ALLNOTRD,148531
65,CINT1-E-NOPF-ALLNOTRD,148531
9350,CINT1WU-AC-NOPF-ALL,148531
36319,CINT1WU-B-NOPF-ALL,148531
24,CINT1WU-E-NOPF-ALL,148531
1346,CMUS1-AC-NOPF-MUON,148531
9948,CMUS1-B-NOPF-MUON,148531
100,C0LSR-ABCE-NOPF-TPC,148541
6669,CBEAMB-B-NOPF-ALLNOTRD,148541
47,CBEAMBWU-B-NOPF-ALL,148541
108119,CINT1-AC-NOPF-ALLNOTRD,148541
539775,CINT1-B-NOPF-ALLNOTRD,148541
478,CINT1-E-NOPF-ALLNOTRD,148541
54320,CINT1WU-AC-NOPF-ALL,148541
220708,CINT1WU-B-NOPF-ALL,148541
126,CINT1WU-E-NOPF-ALL,148541
4589,CMUS1-AC-NOPF-MUON,148541
33097,CMUS1-B-NOPF-MUON,148541
100,C0LSR-ABCE-NOPF-TPC,148544
10353,CBEAMB-B-NOPF-ALLNOTRD,148544
197,CBEAMBWU-B-NOPF-ALL,148544
123767,CINT1-AC-NOPF-ALLNOTRD,148544
1071782,CINT1-B-NOPF-ALLNOTRD,148544
1149,CINT1-E-NOPF-ALLNOTRD,148544
57797,CINT1WU-AC-NOPF-ALL,148544
443791,CINT1WU-B-NOPF-ALL,148544
441,CINT1WU-E-NOPF-ALL,148544
8413,CMUS1-AC-NOPF-MUON,148544
284570,CMUS1-B-NOPF-MUON,148544
100,C0LSR-ABCE-NOPF-TPC,148648
4,C0PH0-AC-NOPF-ALLNOTRD,148648
148,C0PH0-B-NOPF-ALLNOTRD,148648
7672,CBEAMB-B-NOPF-ALLNOTRD,148648
497,CBEAMBWU-B-NOPF-ALL,148648
110062,CINT1-AC-NOPF-ALLNOTRD,148648
859596,CINT1-B-NOPF-ALLNOTRD,148648
2817,CINT1-E-NOPF-ALLNOTRD,148648
43662,CINT1WU-AC-NOPF-ALL,148648
485872,CINT1WU-B-NOPF-ALL,148648
878,CINT1WU-E-NOPF-ALL,148648
100,C0LSR-ABCE-NOPF-TPC,148800
18170,CBEAMB-B-NOPF-ALLNOTRD,148800
1189,CBEAMBWU-B-NOPF-ALL,148800
332934,CINT1-AC-NOPF-ALLNOTRD,148800
1774396,CINT1-B-NOPF-ALLNOTRD,148800
5566,CINT1-E-NOPF-ALLNOTRD,148800
1808,CINT1WU-AC-NOPF-ALL,148800
164699,CINT1WU-B-NOPF-ALL,148800
989,CINT1WU-E-NOPF-ALL,148800
14998,CMUS1-AC-NOPF-MUON,148800
1154493,CMUS1-B-NOPF-MUON,148800
100,C0LSR-ABCE-NOPF-TPC,148847
11505,CBEAMB-B-NOPF-ALLNOTRD,148847
566,CBEAMBWU-B-NOPF-ALL,148847
164481,CINT1-AC-NOPF-ALLNOTRD,148847
914189,CINT1-B-NOPF-ALLNOTRD,148847
2893,CINT1-E-NOPF-ALLNOTRD,148847
69809,CINT1WU-AC-NOPF-ALL,148847
539731,CINT1WU-B-NOPF-ALL,148847
1058,CINT1WU-E-NOPF-ALL,148847
5168,CMUS1-AC-NOPF-MUON,148847
420685,CMUS1-B-NOPF-MUON,148847
300,C0LSR-ABCE-NOPF-TPC,148857
35317,CBEAMB-B-NOPF-ALLNOTRD,148857
1495,CBEAMBWU-B-NOPF-ALL,148857
512243,CINT1-AC-NOPF-ALLNOTRD,148857
3446732,CINT1-B-NOPF-ALLNOTRD,148857
9153,CINT1-E-NOPF-ALLNOTRD,148857
215277,CINT1WU-AC-NOPF-ALL,148857
1958722,CINT1WU-B-NOPF-ALL,148857
3621,CINT1WU-E-NOPF-ALL,148857
23951,CMUS1-AC-NOPF-MUON,148857
2203359,CMUS1-B-NOPF-MUON,148857
100,C0LSR-ABCE-NOPF-TPC,149102
18030,CBEAMB-B-NOPF-ALLNOTRD,149102
955,CBEAMBWU-B-NOPF-ALL,149102
318062,CINT1-AC-NOPF-ALLNOTRD,149102
1742960,CINT1-B-NOPF-ALLNOTRD,149102
10311,CINT1-E-NOPF-ALLNOTRD,149102
114640,CINT1WU-AC-NOPF-ALL,149102
1074193,CINT1WU-B-NOPF-ALL,149102
2181,CINT1WU-E-NOPF-ALL,149102
9206,CMUS1-AC-NOPF-MUON,149102
1063048,CMUS1-B-NOPF-MUON,149102
100,C0LSR-ABCE-NOPF-TPC,149740
10825,CBEAMB-B-NOPF-ALLNOTRD,149740
671,CBEAMBWU-B-NOPF-ALL,149740
205700,CINT1-AC-NOPF-ALLNOTRD,149740
1069179,CINT1-B-NOPF-ALLNOTRD,149740
3998,CINT1-E-NOPF-ALLNOTRD,149740
4961,CINT1WU-AC-NOPF-ALL,149740
517162,CINT1WU-B-NOPF-ALL,149740
100,C0LSR-ABCE-NOPF-TPC,149757
23425,CBEAMB-B-NOPF-ALLNOTRD,149757
1203,CBEAMBWU-B-NOPF-ALL,149757
480304,CINT1-AC-NOPF-ALLNOTRD,149757
2367511,CINT1-B-NOPF-ALLNOTRD,149757
7694,CINT1-E-NOPF-ALLNOTRD,149757
23884,CINT1WU-AC-NOPF-ALL,149757
1230769,CINT1WU-B-NOPF-ALL,149757
29174,CBEAMB-B-NOPF-ALLNOTRD,149771
1381,CBEAMBWU-B-NOPF-ALL,149771
492699,CINT1-AC-NOPF-ALLNOTRD,149771
3001126,CINT1-B-NOPF-ALLNOTRD,149771
8009,CINT1-E-NOPF-ALLNOTRD,149771
25838,CINT1WU-AC-NOPF-ALL,149771
1513899,CINT1WU-B-NOPF-ALL,149771
1,CINT1WU-E-NOPF-ALL,149771
7623,CBEAMB-B-NOPF-ALLNOTRD,149772
357,CBEAMBWU-B-NOPF-ALL,149772
128377,CINT1-AC-NOPF-ALLNOTRD,149772
809747,CINT1-B-NOPF-ALLNOTRD,149772
2149,CINT1-E-NOPF-ALLNOTRD,149772
6722,CINT1WU-AC-NOPF-ALL,149772
405189,CINT1WU-B-NOPF-ALL,149772
1,CINT1WU-E-NOPF-ALL,149772
28237,CBEAMB-B-NOPF-ALLNOTRD,149773
1222,CBEAMBWU-B-NOPF-ALL,149773
455803,CINT1-AC-NOPF-ALLNOTRD,149773
2940704,CINT1-B-NOPF-ALLNOTRD,149773
7683,CINT1-E-NOPF-ALLNOTRD,149773
23689,CINT1WU-AC-NOPF-ALL,149773
1457482,CINT1WU-B-NOPF-ALL,149773
53974,CBEAMB-B-NOPF-ALLNOTRD,149775
2261,CBEAMBWU-B-NOPF-ALL,149775
811732,CINT1-AC-NOPF-ALLNOTRD,149775
5537468,CINT1-B-NOPF-ALLNOTRD,149775
14008,CINT1-E-NOPF-ALLNOTRD,149775
42598,CINT1WU-AC-NOPF-ALL,149775
