counts,trigger,run
26,C0AMU-ABCE-NOPF-CENTNOTRD,186668
6,C0HWU-S-NOPF-ALL,186668
35474,C0VGA-ABCE-NOPF-ALLNOTRD,186668
5929,C0VGC-ABCE-NOPF-ALLNOTRD,186668
54,CEMC7-ACE-NOPF-ALLNOTRD,186668
5038,CEMC7-S-NOPF-ALLNOTRD,186668
3,CEMC7EGA-ACE-NOPF-CENTNOTRD,186668
98,CEMC7EGA-S-NOPF-CENTNOTRD,186668
5,CEMC7EJE-ACE-NOPF-CENTNOTRD,186668
232,CEMC7EJE-S-NOPF-CENTNOTRD,186668
47,CEMC7WU-ACE-NOPF-ALL,186668
4723,CEMC7WU-S-NOPF-ALL,186668
3,CEMC7WUEGA-ACE-NOPF-CENT,186668
95,CEMC7WUEGA-S-NOPF-CENT,186668
5,CEMC7WUEJE-ACE-NOPF-CENT,186668
215,CEMC7WUEJE-S-NOPF-CENT,186668
45,CEMC7WUHJT-ACE-NOPF-CENT,186668
4612,CEMC7WUHJT-S-NOPF-CENT,186668
18144,CINT7-ACE-NOPF-ALLNOTRD,186668
926990,CINT7-S-NOPF-ALLNOTRD,186668
12152,CINT7WU-ACE-NOPF-ALL,186668
818098,CINT7WU-S-NOPF-ALL,186668
1323,CINT7WUHJT-ACE-NOPF-CENT,186668
87319,CINT7WUHJT-S-NOPF-CENT,186668
352771,CINT8-S-NOPF-ALLNOTRD,186668
13,CMLL7-ACE-NOPF-MUON,186668
476,CMLL7-S-NOPF-MUON,186668
52,CMSH7-ACE-NOPF-MUON,186668
1633,CMSH7-S-NOPF-MUON,186668
332,CMSL7-ACE-NOPF-MUON,186668
3727,CMSL7-SC-NOPF-MUON,186668
3,CMUL7-ACE-NOPF-ALLNOTRD,186668
177,CMUL7-S-NOPF-ALLNOTRD,186668
37,CMUP3-ACE-NOPF-ALLNOTRD,186668
68353,CSPI7-S-NOPF-ALLNOTRD,186668
58728,CSPI7WU-S-NOPF-ALL,186668
5749,CTRUE-S-NOPF-ALLNOTRD,186668
477,C0AMU-ABCE-NOPF-CENTNOTRD,186688
71,C0HWU-S-NOPF-ALL,186688
16592,C0VGA-ABCE-NOPF-ALLNOTRD,186688
1324,C0VGC-ABCE-NOPF-ALLNOTRD,186688
6212,CEMC7-ACE-NOPF-ALLNOTRD,186688
329729,CEMC7-S-NOPF-ALLNOTRD,186688
86,CEMC7EGA-ACE-NOPF-CENTNOTRD,186688
4094,CEMC7EGA-S-NOPF-CENTNOTRD,186688
171,CEMC7EJE-ACE-NOPF-CENTNOTRD,186688
9758,CEMC7EJE-S-NOPF-CENTNOTRD,186688
5185,CEMC7WU-ACE-NOPF-ALL,186688
286729,CEMC7WU-S-NOPF-ALL,186688
54,CEMC7WUEGA-ACE-NOPF-CENT,186688
3513,CEMC7WUEGA-S-NOPF-CENT,186688
143,CEMC7WUEJE-ACE-NOPF-CENT,186688
8559,CEMC7WUEJE-S-NOPF-CENT,186688
3347,CEMC7WUHJT-ACE-NOPF-CENT,186688
187240,CEMC7WUHJT-S-NOPF-CENT,186688
5509,CINT7-ACE-NOPF-ALLNOTRD,186688
99405,CINT7-S-NOPF-ALLNOTRD,186688
2268,CINT7WU-ACE-NOPF-ALL,186688
60761,CINT7WU-S-NOPF-ALL,186688
175724,CINT7WUHJT-ACE-NOPF-CENT,186688
4430878,CINT7WUHJT-S-NOPF-CENT,186688
22558,CINT8-S-NOPF-ALLNOTRD,186688
6445,CMLL7-ACE-NOPF-MUON,186688
83920,CMLL7-S-NOPF-MUON,186688
26278,CMSH7-ACE-NOPF-MUON,186688
324570,CMSH7-S-NOPF-MUON,186688
131337,CMSL7-ACE-NOPF-MUON,186688
217365,CMSL7-SC-NOPF-MUON,186688
2004,CMUL7-ACE-NOPF-ALLNOTRD,186688
25327,CMUL7-S-NOPF-ALLNOTRD,186688
23258,CMUP3-ACE-NOPF-ALLNOTRD,186688
223,CMUP3-SC-NOPF-ALLNOTRD,186688
515401,CSPI7-S-NOPF-ALLNOTRD,186688
284551,CSPI7WU-S-NOPF-ALL,186688
40154,CTRUE-S-NOPF-ALLNOTRD,186688
374,C0AMU-ABCE-NOPF-CENTNOTRD,186689
61,C0HWU-S-NOPF-ALL,186689
13946,C0VGA-ABCE-NOPF-ALLNOTRD,186689
1168,C0VGC-ABCE-NOPF-ALLNOTRD,186689
4416,CEMC7-ACE-NOPF-ALLNOTRD,186689
203732,CEMC7-S-NOPF-ALLNOTRD,186689
73,CEMC7EGA-ACE-NOPF-CENTNOTRD,186689
2856,CEMC7EGA-S-NOPF-CENTNOTRD,186689
148,CEMC7EJE-ACE-NOPF-CENTNOTRD,186689
6760,CEMC7EJE-S-NOPF-CENTNOTRD,186689
3783,CEMC7WU-ACE-NOPF-ALL,186689
182412,CEMC7WU-S-NOPF-ALL,186689
56,CEMC7WUEGA-ACE-NOPF-CENT,186689
2493,CEMC7WUEGA-S-NOPF-CENT,186689
129,CEMC7WUEJE-ACE-NOPF-CENT,186689
6090,CEMC7WUEJE-S-NOPF-CENT,186689
2681,CEMC7WUHJT-ACE-NOPF-CENT,186689
130891,CEMC7WUHJT-S-NOPF-CENT,186689
4668,CINT7-ACE-NOPF-ALLNOTRD,186689
80821,CINT7-S-NOPF-ALLNOTRD,186689
2004,CINT7WU-ACE-NOPF-ALL,186689
49790,CINT7WU-S-NOPF-ALL,186689
130708,CINT7WUHJT-ACE-NOPF-CENT,186689
3112202,CINT7WUHJT-S-NOPF-CENT,186689
18204,CINT8-S-NOPF-ALLNOTRD,186689
3990,CMLL7-ACE-NOPF-MUON,186689
50236,CMLL7-S-NOPF-MUON,186689
15979,CMSH7-ACE-NOPF-MUON,186689
193090,CMSH7-S-NOPF-MUON,186689
