counts,trigger,run
100,C0LSR-ABCE-NOPF-TPC,195529
264,C0VGO-ABCE-NOPF-ALLNOTRD,195529
13,C1ZED-B-NOPF-ALLNOTRD,195529
70,CEMC7EG1-B-NOPF-ALLNOTRD,195529
266,CEMC7EG2-B-NOPF-ALLNOTRD,195529
83,CEMC7EJ1-B-NOPF-ALLNOTRD,195529
1756,CEMC7EJ2-B-NOPF-ALLNOTRD,195529
689,CINT7-ACE-NOPF-ALLNOTRD,195529
444895,CINT7-B-NOPF-ALLNOTRD,195529
494,CINT7WU-ACE-NOPF-ALL,195529
441644,CINT7WU-B-NOPF-ALL,195529
178,CINT7WUHJT-B-NOPF-ALL,195529
2143,CINT7WUHQU-B-NOPF-ALL,195529
1,CINT7WUHSE-ACE-NOPF-ALL,195529
3028,CINT7WUHSE-B-NOPF-ALL,195529
1097,CMLL7-B-NOPF-ALLNOTRD,195529
396,CMSH7-B-NOPF-ALLNOTRD,195529
5,CMSL7-ACE-NOPF-ALLNOTRD,195529
15228,CMSL7-B-NOPF-ALLNOTRD,195529
333,CMUL7-B-NOPF-ALLNOTRD,195529
701,CPHI7-B-NOPF-ALLNOTRD,195529
10815,CSHM7-B-NOPF-ALLNOTRD,195529
2195,CT0OR-ABCE-NOPF-ALLNOTRD,195529
119,CTEST36-B-NOPF-ALLNOTRD,195529
1429,CTEST37-B-NOPF-ALL,195529
110,CTRUE-ACE-NOPF-ALLNOTRD,195529
1822,CTRUE-B-NOPF-ALLNOTRD,195529
19868,CVLN-B-NOPF-ALLNOTRD,195529
1200,C0LSR-ABCE-NOPF-TPC,195531
19215,C0VGO-ABCE-NOPF-ALLNOTRD,195531
791,C1ZED-B-NOPF-ALLNOTRD,195531
4894,CEMC7EG1-B-NOPF-ALLNOTRD,195531
20766,CEMC7EG2-B-NOPF-ALLNOTRD,195531
5788,CEMC7EJ1-B-NOPF-ALLNOTRD,195531
136192,CEMC7EJ2-B-NOPF-ALLNOTRD,195531
43071,CINT7-ACE-NOPF-ALLNOTRD,195531
34226857,CINT7-B-NOPF-ALLNOTRD,195531
27322,CINT7WU-ACE-NOPF-ALL,195531
33968682,CINT7WU-B-NOPF-ALL,195531
15255,CINT7WUHJT-B-NOPF-ALL,195531
13,CINT7WUHQU-ACE-NOPF-ALL,195531
167908,CINT7WUHQU-B-NOPF-ALL,195531
14,CINT7WUHSE-ACE-NOPF-ALL,195531
235331,CINT7WUHSE-B-NOPF-ALL,195531
56,CMLL7-ACE-NOPF-ALLNOTRD,195531
88782,CMLL7-B-NOPF-ALLNOTRD,195531
50,CMSH7-ACE-NOPF-ALLNOTRD,195531
32256,CMSH7-B-NOPF-ALLNOTRD,195531
691,CMSL7-ACE-NOPF-ALLNOTRD,195531
1197609,CMSL7-B-NOPF-ALLNOTRD,195531
30,CMUL7-ACE-NOPF-ALLNOTRD,195531
29590,CMUL7-B-NOPF-ALLNOTRD,195531
