counts,trigger,run
54964,C0OB3-ABCE-NOPF-ALLNOTRD,208788
1028502,C0OB3-ABCE-NOPF-ALLNOTRD,208795
1430807,C0OB3-ABCE-NOPF-ALLNOTRD,208809
310872,C0OB3-ABCE-NOPF-ALLNOTRD,208876
178318,C0OB3-ABCE-NOPF-ALLNOTRD,208881
245571,C0OB3-ABCE-NOPF-ALLNOTRD,208898
595633,C0OB3-ABCE-NOPF-ALLNOTRD,208906
102,C0OB3-ABCE-NOPF-ALLNOTRD,208934
9162,C0OB3-ABCE-NOPF-ALLNOTRD,208935
370225,C0OB3-ABCE-NOPF-ALLNOTRD,208971
883936,C0OB3-ABCE-NOPF-ALLNOTRD,208973
372450,C0OB3-ABCE-NOPF-ALLNOTRD,208999
412476,C0OB3-ABCE-NOPF-ALLNOTRD,209008
3627552,C0OB3-ABCE-NOPF-ALLNOTRD,209022
2440648,C0OB3-ABCE-NOPF-ALLNOTRD,209063
146527,C0OB3-ABCE-NOPF-ALLNOTRD,209084
1304034,C0OB3-ABCE-NOPF-ALLNOTRD,209086
2143777,C0OB3-ABCE-NOPF-ALLNOTRD,209089
1650531,C0OB3-ABCE-NOPF-ALLNOTRD,209106
562747,C0OB3-ABCE-NOPF-ALLNOTRD,209107
2236747,C0OB3-ABCE-NOPF-ALLNOTRD,209108
102010,C0OB3-ABCE-NOPF-ALLNOTRD,209122
100426,C0OB3-ABCE-NOPF-ALLNOTRD,209126
100,C0LSR-ABCE-NOPF-TPC,209134
107766,C0OB3-ABCE-NOPF-ALLNOTRD,209134
100,C0LSR-ABCE-NOPF-TPC,209142
100243,C0OB3-ABCE-NOPF-ALLNOTRD,209142
100,C0LSR-ABCE-NOPF-TPC,209148
108451,C0OB3-ABCE-NOPF-ALLNOTRD,209148
100,C0LSR-ABCE-NOPF-TPC,209154
100606,C0OB3-ABCE-NOPF-ALLNOTRD,209154
100,C0LSR-ABCE-NOPF-TPC,209158
100152,C0OB3-ABCE-NOPF-ALLNOTRD,209158
100,C0LSR-ABCE-NOPF-TPC,209162
100229,C0OB3-ABCE-NOPF-ALLNOTRD,209162
100,C0LSR-ABCE-NOPF-TPC,209166
100676,C0OB3-ABCE-NOPF-ALLNOTRD,209166
100,C0LSR-ABCE-NOPF-TPC,209173
