counts,trigger,run
200,C0LSR-ABCE-NOPF-CENTNOTRD,232914
698,C0MLL-A-NOPF-MUFAST,232914
8010,C0MLL-B-NOPF-MUFAST,232914
237,C0MLL-C-NOPF-MUFAST,232914
2369,C0MSH-A-NOPF-MUFAST,232914
24581,C0MSH-B-NOPF-MUFAST,232914
765,C0MSH-C-NOPF-MUFAST,232914
12381,C0MSL-A-NOPF-MUFAST,232914
89095,C0MSL-B-NOPF-MUFAST,232914
5626,C0MSL-C-NOPF-MUFAST,232914
522,C0MUL-A-NOPF-MUFAST,232914
4922,C0MUL-B-NOPF-MUFAST,232914
196,C0MUL-C-NOPF-MUFAST,232914
2336,CINT7-A-NOPF-CENT,232914
3607777,CINT7-B-NOPF-CENT,232914
366742,CINT7-B-NOPF-MUFAST,232914
9651,CINT7-C-NOPF-CENT,232914
9,CMLL7-A-NOPF-MUFAST,232914
7338,CMLL7-B-NOPF-MUFAST,232914
12,CMLL7-C-NOPF-MUFAST,232914
25,CMSH7-A-NOPF-MUFAST,232914
21775,CMSH7-B-NOPF-MUFAST,232914
36,CMSH7-C-NOPF-MUFAST,232914
204,CMSL7-A-NOPF-MUFAST,232914
80911,CMSL7-B-NOPF-MUFAST,232914
270,CMSL7-C-NOPF-MUFAST,232914
7,CMUL7-A-NOPF-MUFAST,232914
4415,CMUL7-B-NOPF-MUFAST,232914
9,CMUL7-C-NOPF-MUFAST,232914
9,CTEST52-B-NOPF-CENTNOTRD,232914
2,CTEST52-C-NOPF-CENTNOTRD,232914
10791,CTRUE-A-NOPF-CENT,232914
9717,CTRUE-B-NOPF-CENT,232914
15607,CTRUE-C-NOPF-CENT,232914
4177,CTRUE-E-NOPF-CENT,232914
200,C0LSR-ABCE-NOPF-CENTNOTRD,232916
747,C0MLL-A-NOPF-MUFAST,232916
7976,C0MLL-B-NOPF-MUFAST,232916
236,C0MLL-C-NOPF-MUFAST,232916
2339,C0MSH-A-NOPF-MUFAST,232916
24482,C0MSH-B-NOPF-MUFAST,232916
747,C0MSH-C-NOPF-MUFAST,232916
11986,C0MSL-A-NOPF-MUFAST,232916
88266,C0MSL-B-NOPF-MUFAST,232916
5657,C0MSL-C-NOPF-MUFAST,232916
537,C0MUL-A-NOPF-MUFAST,232916
4864,C0MUL-B-NOPF-MUFAST,232916
190,C0MUL-C-NOPF-MUFAST,232916
2347,CINT7-A-NOPF-CENT,232916
3584733,CINT7-B-NOPF-CENT,232916
365241,CINT7-B-NOPF-MUFAST,232916
9612,CINT7-C-NOPF-CENT,232916
8,CMLL7-A-NOPF-MUFAST,232916
7297,CMLL7-B-NOPF-MUFAST,232916
10,CMLL7-C-NOPF-MUFAST,232916
25,CMSH7-A-NOPF-MUFAST,232916
21702,CMSH7-B-NOPF-MUFAST,232916
