counts,trigger,run
100,C0LSR-ABCE-NOPF-CENTNOTRD,235196
632,CINT7-A-NOPF-CENT,235196
1835327,CINT7-B-NOPF-CENT,235196
12502,CINT7-B-NOPF-MUFAST,235196
1308,CINT7-C-NOPF-CENT,235196
7,CMLL7-A-NOPF-MUFAST,235196
6438,CMLL7-B-NOPF-MUFAST,235196
2,CMLL7-C-NOPF-MUFAST,235196
13,CMSH7-A-NOPF-MUFAST,235196
21443,CMSH7-B-NOPF-MUFAST,235196
13,CMSH7-C-NOPF-MUFAST,235196
108,CMSL7-A-NOPF-MUFAST,235196
71766,CMSL7-B-NOPF-MUFAST,235196
117,CMSL7-C-NOPF-MUFAST,235196
2,CMUL7-A-NOPF-MUFAST,235196
3948,CMUL7-B-NOPF-MUFAST,235196
2,CMUL7-C-NOPF-MUFAST,235196
580,CSHM7-A-NOPF-CENT,235196
580,CSHM7-A-NOPF-CENTNOTRD,235196
828997,CSHM7-B-NOPF-CENT,235196
828997,CSHM7-B-NOPF-CENTNOTRD,235196
1448,CSHM7-C-NOPF-CENT,235196
1448,CSHM7-C-NOPF-CENTNOTRD,235196
4,CTEST52-B-NOPF-CENT,235196
4,CTEST52-B-NOPF-CENTNOTRD,235196
10431,CTRUE-A-NOPF-CENT,235196
16709,CTRUE-B-NOPF-CENT,235196
8836,CTRUE-C-NOPF-CENT,235196
7542,CTRUE-E-NOPF-CENT,235196
100,C0LSR-ABCE-NOPF-CENTNOTRD,235201
465,CINT7-A-NOPF-CENT,235201
1554709,CINT7-B-NOPF-CENT,235201
10622,CINT7-B-NOPF-MUFAST,235201
1080,CINT7-C-NOPF-CENT,235201
5,CMLL7-A-NOPF-MUFAST,235201
5552,CMLL7-B-NOPF-MUFAST,235201
7,CMLL7-C-NOPF-MUFAST,235201
21,CMSH7-A-NOPF-MUFAST,235201
18553,CMSH7-B-NOPF-MUFAST,235201
13,CMSH7-C-NOPF-MUFAST,235201
87,CMSL7-A-NOPF-MUFAST,235201
62014,CMSL7-B-NOPF-MUFAST,235201
115,CMSL7-C-NOPF-MUFAST,235201
3,CMUL7-A-NOPF-MUFAST,235201
3303,CMUL7-B-NOPF-MUFAST,235201
1,CMUL7-C-NOPF-MUFAST,235201
20,CSHM7-A-NOPF-CENT,235201
20,CSHM7-A-NOPF-CENTNOTRD,235201
2155,CSHM7-B-NOPF-CENT,235201
2155,CSHM7-B-NOPF-CENTNOTRD,235201
339,CSHM7-C-NOPF-CENT,235201
339,CSHM7-C-NOPF-CENTNOTRD,235201
41,CTEST52-B-NOPF-CENT,235201
41,CTEST52-B-NOPF-CENTNOTRD,235201
8723,CTRUE-A-NOPF-CENT,235201
13872,CTRUE-B-NOPF-CENT,235201
7191,CTRUE-C-NOPF-CENT,235201
6439,CTRUE-E-NOPF-CENT,235201
100,C0LSR-ABCE-NOPF-CENTNOTRD,235203
675,CINT7-A-NOPF-CENT,235203
2178179,CINT7-B-NOPF-CENT,235203
15139,CINT7-B-NOPF-MUFAST,235203
1449,CINT7-C-NOPF-CENT,235203
4,CMLL7-A-NOPF-MUFAST,235203
7776,CMLL7-B-NOPF-MUFAST,235203
4,CMLL7-C-NOPF-MUFAST,235203
19,CMSH7-A-NOPF-MUFAST,235203
25993,CMSH7-B-NOPF-MUFAST,235203
8,CMSH7-C-NOPF-MUFAST,235203
122,CMSL7-A-NOPF-MUFAST,235203
86876,CMSL7-B-NOPF-MUFAST,235203
131,CMSL7-C-NOPF-MUFAST,235203
4721,CMUL7-B-NOPF-MUFAST,235203
37,CSHM7-A-NOPF-CENT,235203
37,CSHM7-A-NOPF-CENTNOTRD,235203
3099,CSHM7-B-NOPF-CENT,235203
3099,CSHM7-B-NOPF-CENTNOTRD,235203
409,CSHM7-C-NOPF-CENT,235203
409,CSHM7-C-NOPF-CENTNOTRD,235203
3,CTEST52-A-NOPF-CENT,235203
3,CTEST52-A-NOPF-CENTNOTRD,235203
4492,CTEST52-B-NOPF-CENT,235203
4492,CTEST52-B-NOPF-CENTNOTRD,235203
2,CTEST52-C-NOPF-CENT,235203
2,CTEST52-C-NOPF-CENTNOTRD,235203
11965,CTRUE-A-NOPF-CENT,235203
19417,CTRUE-B-NOPF-CENT,235203
10335,CTRUE-C-NOPF-CENT,235203
8959,CTRUE-E-NOPF-CENT,235203
100,C0LSR-ABCE-NOPF-CENTNOTRD,235204
196,CINT7-A-NOPF-CENT,235204
714222,CINT7-B-NOPF-CENT,235204
4953,CINT7-B-NOPF-MUFAST,235204
481,CINT7-C-NOPF-CENT,235204
1,CMLL7-A-NOPF-MUFAST,235204
2595,CMLL7-B-NOPF-MUFAST,235204
2,CMLL7-C-NOPF-MUFAST,235204
5,CMSH7-A-NOPF-MUFAST,235204
8591,CMSH7-B-NOPF-MUFAST,235204
11,CMSH7-C-NOPF-MUFAST,235204
48,CMSL7-A-NOPF-MUFAST,235204
28637,CMSL7-B-NOPF-MUFAST,235204
47,CMSL7-C-NOPF-MUFAST,235204
1548,CMUL7-B-NOPF-MUFAST,235204
1,CMUL7-C-NOPF-MUFAST,235204
14,CSHM7-A-NOPF-CENT,235204
14,CSHM7-A-NOPF-CENTNOTRD,235204
973,CSHM7-B-NOPF-CENT,235204
973,CSHM7-B-NOPF-CENTNOTRD,235204
122,CSHM7-C-NOPF-CENT,235204
122,CSHM7-C-NOPF-CENTNOTRD,235204
2401,CTEST52-B-NOPF-CENT,235204
2401,CTEST52-B-NOPF-CENTNOTRD,235204
1,CTEST52-C-NOPF-CENT,235204
1,CTEST52-C-NOPF-CENTNOTRD,235204
5663,CTRUE-A-NOPF-CENT,235204
9374,CTRUE-B-NOPF-CENT,235204
5102,CTRUE-C-NOPF-CENT,235204
