counts,trigger,run
19450,C0SMB-A-NOPF-CENTNOTRD,239188
133767,C0SMB-B-NOPF-CENTNOTRD,239188
18916,C0SMB-C-NOPF-CENTNOTRD,239188
7955,C0SMB-E-NOPF-CENTNOTRD,239188
61877,C0TVX-B-NOPF-CENT,239188
61877,C0TVX-B-NOPF-CENTNOTRD,239188
78624,CADAND-B-NOPF-CENTNOTRD,239188
7102,CTRUE-A-NOPF-CENTNOTRD,239188
5686,CTRUE-B-NOPF-CENTNOTRD,239188
6929,CTRUE-C-NOPF-CENTNOTRD,239188
5753,CTRUE-E-NOPF-CENTNOTRD,239188
13216,C0SMB-A-NOPF-CENTNOTRD,239189
177019,C0SMB-B-NOPF-CENTNOTRD,239189
12841,C0SMB-C-NOPF-CENTNOTRD,239189
5115,C0SMB-E-NOPF-CENTNOTRD,239189
84287,C0TVX-B-NOPF-CENT,239189
84287,C0TVX-B-NOPF-CENTNOTRD,239189
123646,CADAND-B-NOPF-CENTNOTRD,239189
5785,CTRUE-A-NOPF-CENTNOTRD,239189
4582,CTRUE-B-NOPF-CENTNOTRD,239189
5548,CTRUE-C-NOPF-CENTNOTRD,239189
4619,CTRUE-E-NOPF-CENTNOTRD,239189
25,C0AMU-ABCE-NOPF-CENTNOTRD,239319
100,C0LSR-ABCE-NOPF-CENTNOTRD,239319
26503,C0TVX-B-NOPF-CENT,239319
61843,CCALIB-B-NOPF-CENT,239319
18,CINT7-A-NOPF-CENT,239319
49470,CINT7-B-NOPF-CENT,239319
14907,CINT7-B-NOPF-MUFAST,239319
160,CINT7-C-NOPF-CENT,239319
325,CINT7HJT-B-NOPF-CENT,239319
9,CMLL7-A-NOPF-MUFAST,239319
25275,CMLL7-B-NOPF-MUFAST,239319
2,CMLL7-C-NOPF-MUFAST,239319
35,CMSH7-A-NOPF-MUFAST,239319
73914,CMSH7-B-NOPF-MUFAST,239319
13,CMSH7-C-NOPF-MUFAST,239319
243,CMSL7-A-NOPF-MUFAST,239319
8937,CMSL7-B-NOPF-ALL,239319
15402,CMSL7-B-NOPF-ALLNOTRD,239319
27468,CMSL7-B-NOPF-MUFAST,239319
102,CMSL7-C-NOPF-MUFAST,239319
8,CMUL7-A-NOPF-MUFAST,239319
15473,CMUL7-B-NOPF-MUFAST,239319
1,CMUL7-C-NOPF-MUFAST,239319
230,CTRUE-A-NOPF-CENT,239319
1212,CTRUE-B-NOPF-CENT,239319
233,CTRUE-C-NOPF-CENT,239319
879,CTRUE-E-NOPF-CENT,239319
39265,CVHMSH1-B-NOPF-CENT,239319
916,CVHMSH2-A-NOPF-CENT,239319
113152,CVHMSH2-B-SPD1-CENT,239319
181355,CVHMSH2-B-SPD1-CENTNOTRD,239319
2886,CVHMSH2-C-NOPF-CENT,239319
5294,CVHMSH2MSL-B-NOPF-ALL,239319
9529,CVHMSH2MSL-B-NOPF-ALLNOTRD,239319
143,CVHMV0M-A-NOPF-CENT,239319
205896,CVHMV0M-B-NOPF-CENT,239319
354527,CVHMV0M-B-NOPF-CENTNOTRD,239319
388,CVHMV0M-C-NOPF-CENT,239319
4180,CVHMV0MMSL-B-NOPF-ALL,239319
7171,CVHMV0MMSL-B-NOPF-ALLNOTRD,239319
10,C0AMU-ABCE-NOPF-CENTNOTRD,239324
100,C0LSR-ABCE-NOPF-CENTNOTRD,239324
76821,C0TVX-B-NOPF-CENT,239324
92902,CCALIB-B-NOPF-CENT,239324
33,CINT7-A-NOPF-CENT,239324
143407,CINT7-B-NOPF-CENT,239324
13370,CINT7-B-NOPF-MUFAST,239324
241,CINT7-C-NOPF-CENT,239324
14,CMLL7-A-NOPF-MUFAST,239324
22938,CMLL7-B-NOPF-MUFAST,239324
3,CMLL7-C-NOPF-MUFAST,239324
31,CMSH7-A-NOPF-MUFAST,239324
67407,CMSH7-B-NOPF-MUFAST,239324
15,CMSH7-C-NOPF-MUFAST,239324
192,CMSL7-A-NOPF-MUFAST,239324
10622,CMSL7-B-NOPF-ALL,239324
10622,CMSL7-B-NOPF-ALLNOTRD,239324
24836,CMSL7-B-NOPF-MUFAST,239324
91,CMSL7-C-NOPF-MUFAST,239324
6,CMUL7-A-NOPF-MUFAST,239324
14078,CMUL7-B-NOPF-MUFAST,239324
4,CMUL7-C-NOPF-MUFAST,239324
1010,CTRUE-A-NOPF-CENT,239324
4695,CTRUE-B-NOPF-CENT,239324
1114,CTRUE-C-NOPF-CENT,239324
597,CTRUE-E-NOPF-CENT,239324
26847,CVHMSH1-B-NOPF-CENT,239324
1061,CVHMSH2-A-NOPF-CENT,239324
261124,CVHMSH2-B-SPD1-CENT,239324
261124,CVHMSH2-B-SPD1-CENTNOTRD,239324
3537,CVHMSH2-C-NOPF-CENT,239324
6869,CVHMSH2MSL-B-NOPF-ALL,239324
6869,CVHMSH2MSL-B-NOPF-ALLNOTRD,239324
75,CVHMV0M-A-NOPF-CENT,239324
185909,CVHMV0M-B-NOPF-CENT,239324
185909,CVHMV0M-B-NOPF-CENTNOTRD,239324
193,CVHMV0M-C-NOPF-CENT,239324
4469,CVHMV0MMSL-B-NOPF-ALL,239324
4469,CVHMV0MMSL-B-NOPF-ALLNOTRD,239324
121,C0AMU-ABCE-NOPF-CENTNOTRD,239346
400,C0LSR-ABCE-NOPF-CENTNOTRD,239346
521072,C0TVX-B-NOPF-CENT,239346
354045,CCALIB-B-NOPF-CENT,239346
607,CINT7-A-NOPF-CENT,239346
985631,CINT7-B-NOPF-CENT,239346
243478,CINT7-B-NOPF-MUFAST,239346
6731,CINT7-C-NOPF-CENT,239346
6,CINT7-E-NOPF-CENT,239346
5383,CINT7HJT-B-NOPF-CENT,239346
416,CMLL7-A-NOPF-MUFAST,239346
428911,CMLL7-B-NOPF-MUFAST,239346
135,CMLL7-C-NOPF-MUFAST,239346
1303,CMSH7-A-NOPF-MUFAST,239346
1260612,CMSH7-B-NOPF-MUFAST,239346
411,CMSH7-C-NOPF-MUFAST,239346
7612,CMSL7-A-NOPF-MUFAST,239346
38450,CMSL7-B-NOPF-ALL,239346
64475,CMSL7-B-NOPF-ALLNOTRD,239346
186682,CMSL7-B-NOPF-MUFAST,239346
2915,CMSL7-C-NOPF-MUFAST,239346
294,CMUL7-A-NOPF-MUFAST,239346
265356,CMUL7-B-NOPF-MUFAST,239346
99,CMUL7-C-NOPF-MUFAST,239346
11146,CTRUE-A-NOPF-CENT,239346
26601,CTRUE-B-NOPF-CENT,239346
10046,CTRUE-C-NOPF-CENT,239346
2098,CTRUE-E-NOPF-CENT,239346
