counts,trigger,run
645,C0SMB-E-NOPF-CENTNOTRD,244917
15603,C0TVX-B-NOPF-CENT,244917
15603,C0TVX-B-NOPF-CENTNOPMD,244917
15603,C0TVX-B-NOPF-CENTNOTRD,244917
6822,C0V0M-B-NOPF-CENTNOTRD,244917
592,C1ZED-B-NOPF-CENTNOPMD,244917
4863,CADAND-B-NOPF-CENTNOTRD,244917
11973,CCALIB1-B-NOPF-CENT,244917
5155,CCALIB2-B-NOPF-CENT,244917
1675,CCUP2-B-NOPF-CENTNOTRD,244917
50,CCUP4-B-NOPF-CENTNOTRD,244917
442,CDMC7-B-NOPF-CENTNOPMD,244917
589,CEMC7-B-NOPF-CENTNOPMD,244917
12,CINT10-A-NOPF-CENTNOTRD,244917
4292,CINT10-B-NOPF-CENTNOTRD,244917
6,CINT10-C-NOPF-CENTNOTRD,244917
1,CINT10-E-NOPF-CENTNOTRD,244917
3509,CINT5-B-NOPF-CENT,244917
3509,CINT5-B-NOPF-CENTNOTRD,244917
2,CINT7-A-NOPF-CENT,244917
11973,CINT7-B-NOPF-CENT,244917
11973,CINT7-B-NOPF-CENTNOTRD,244917
1,CINT7-B-NOPF-MUFAST,244917
52,CINT7-C-NOPF-CENT,244917
56,CINT7DG1-B-NOPF-CENTNOPMD,244917
186,CINT7DG2-B-NOPF-CENTNOPMD,244917
6,CINT7DJ1-B-NOPF-CENTNOPMD,244917
133,CINT7DJ2-B-NOPF-CENTNOPMD,244917
64,CINT7EG1-B-NOPF-CENTNOPMD,244917
209,CINT7EG2-B-NOPF-CENTNOPMD,244917
27,CINT7EJ1-B-NOPF-CENTNOPMD,244917
756,CINT7EJ2-B-NOPF-CENTNOPMD,244917
5,CINT7PHH-B-NOPF-CENTNOPMD,244917
39,CINT7PHL-B-NOPF-CENTNOPMD,244917
14,CINT7PHM-B-NOPF-CENTNOPMD,244917
11510,CINT7ZAC-B-NOPF-CENTNOPMD,244917
26,CINT8EJ1-B-NOPF-CENTNOPMD,244917
5,CINT8PHH-B-NOPF-CENTNOPMD,244917
977,CMLL7-B-NOPF-MUFAST,244917
759,CMSH7-B-NOPF-MUFAST,244917
3158,CMSL7-B-NOPF-MUFAST,244917
932,CMUL7-B-NOPF-MUFAST,244917
31,CMUP1-A-NOPF-MUFAST,244917
61,CMUP1-B-NOPF-MUFAST,244917
2,CPER7PHM-B-NOPF-CENTNOPMD,244917
99,CPHI7-B-NOPF-CENTNOPMD,244917
1,CTEST57-B-NOPF-CENTNOTRD,244917
6,CTEST58-A-NOPF-CENTNOTRD,244917
7366,CTEST58-B-NOPF-CENTNOTRD,244917
9,CTEST58-C-NOPF-CENTNOTRD,244917
1,CTEST58-E-NOPF-CENTNOTRD,244917
1048,CTEST59-B-NOPF-CENTNOTRD,244917
26,CTEST60-A-NOPF-CENTNOTRD,244917
28,CTEST60-B-NOPF-CENTNOTRD,244917
21,CTEST60-C-NOPF-CENTNOTRD,244917
11,CTEST60-E-NOPF-CENTNOTRD,244917
3,CTEST61-A-NOPF-CENTNOTRD,244917
8,CTEST61-B-NOPF-CENTNOTRD,244917
1,CTEST61-C-NOPF-CENTNOTRD,244917
13,CTEST62-B-NOPF-MUFAST,244917
112,CTEST63-A-NOPF-MUFAST,244917
169,CTEST63-B-NOPF-MUFAST,244917
33,CTEST64-A-NOPF-MUFAST,244917
46,CTEST64-B-NOPF-MUFAST,244917
147,CTRUE-A-NOPF-CENT,244917
4241,CTRUE-B-NOPF-CENT,244917
148,CTRUE-C-NOPF-CENT,244917
738,CTRUE-E-NOPF-CENT,244917
200,C0LSR-ABCE-NOPF-CENTNOTRD,244918
13279,C0SMB-E-NOPF-CENTNOTRD,244918
13,C0T0A-B-NOPF-CENT,244918
215028,C0TVX-B-NOPF-CENT,244918
215028,C0TVX-B-NOPF-CENTNOPMD,244918
215029,C0TVX-B-NOPF-CENTNOTRD,244918
100969,C0V0M-B-NOPF-CENTNOTRD,244918
9005,C1ZED-B-NOPF-CENTNOPMD,244918
72959,CADAND-B-NOPF-CENTNOTRD,244918
175711,CCALIB1-B-NOPF-CENT,244918
74820,CCALIB2-B-NOPF-CENT,244918
25215,CCUP2-B-NOPF-CENTNOTRD,244918
675,CCUP4-B-NOPF-CENTNOTRD,244918
6129,CDMC7-B-NOPF-CENTNOPMD,244918
8727,CEMC7-B-NOPF-CENTNOPMD,244918
241,CINT10-A-NOPF-CENTNOTRD,244918
62247,CINT10-B-NOPF-CENTNOTRD,244918
199,CINT10-C-NOPF-CENTNOTRD,244918
27,CINT10-E-NOPF-CENTNOTRD,244918
50553,CINT5-B-NOPF-CENT,244918
50553,CINT5-B-NOPF-CENTNOTRD,244918
17,CINT7-A-NOPF-CENT,244918
175711,CINT7-B-NOPF-CENT,244918
175711,CINT7-B-NOPF-CENTNOTRD,244918
19055,CINT7-B-NOPF-MUFAST,244918
1254,CINT7-C-NOPF-CENT,244918
879,CINT7DG1-B-NOPF-CENTNOPMD,244918
2660,CINT7DG2-B-NOPF-CENTNOPMD,244918
147,CINT7DJ1-B-NOPF-CENTNOPMD,244918
2137,CINT7DJ2-B-NOPF-CENTNOPMD,244918
914,CINT7EG1-B-NOPF-CENTNOPMD,244918
3123,CINT7EG2-B-NOPF-CENTNOPMD,244918
321,CINT7EJ1-B-NOPF-CENTNOPMD,244918
11133,CINT7EJ2-B-NOPF-CENTNOPMD,244918
108,CINT7PHH-B-NOPF-CENTNOPMD,244918
625,CINT7PHL-B-NOPF-CENTNOPMD,244918
