counts,trigger,run
7,C0AMU-ABCE-NOPF-CENTNOTRD,256146
544,C0DMC-B-SPD1-CENTNOTRD,256146
1685,C0EMC-B-SPD1-CENTNOTRD,256146
100,C0LSR-ABCE-NOPF-CENTNOTRD,256146
304542,C0TVX-B-NOPF-CENT,256146
510,C0TVX-B-NOPF-MUFAST,256146
932441,CCALIB1-B-NOPF-CENT,256146
168,CCUP2-B-SPD1-CENTNOTRD,256146
1762,CDMC7-B-NOPF-CENT,256146
5222,CEMC7-B-NOPF-CENT,256146
5901,CINT7-A-NOPF-CENT,256146
932441,CINT7-B-NOPF-CENT,256146
1827,CINT7-B-NOPF-MUFAST,256146
21709,CINT7-C-NOPF-CENT,256146
3737,CMLL7-B-NOPF-MUFAST,256146
3383,CMSH7-B-NOPF-MUFAST,256146
126,CMSL7-A-NOPF-MUFAST,256146
9118,CMSL7-B-NOPF-MUFAST,256146
12,CMSL7-C-NOPF-MUFAST,256146
14,CMSL8-B-NOPF-MUFAST,256146
2439,CMUL7-B-NOPF-MUFAST,256146
80,CPHI7-B-NOPF-CENT,256146
7,CPHI7PHH-B-NOPF-CENT,256146
61,CPHI7PHL-B-NOPF-CENT,256146
35,CPHI7PHM-B-NOPF-CENT,256146
219,CTEST58-B-SPD1-CENTNOTRD,256146
114,CTEST67-B-SPD1-CENTNOTRD,256146
54,CTEST68-B-SPD1-CENTNOTRD,256146
39,CTEST69-B-SPD1-CENTNOTRD,256146
225,CTEST70-B-SPD1-CENTNOTRD,256146
34,CTRUE-A-NOPF-CENT,256146
767,CTRUE-B-NOPF-CENT,256146
778,CTRUE-B-NOPF-CENTNOTRD,256146
752,CTRUE-B-SPD1-CENTNOTRD,256146
35,CTRUE-C-NOPF-CENT,256146
156,CTRUE-E-NOPF-CENT,256146
42937,CVHMSH2-B-NOPF-CENT,256146
1753,CVHMV0M-B-NOPF-CENT,256146
1780,CVHMV0M-B-NOPF-CENTNOTRD,256146
32,C0AMU-ABCE-NOPF-CENTNOTRD,256147
360,C0DMC-B-SPD1-CENTNOTRD,256147
1204,C0EMC-B-SPD1-CENTNOTRD,256147
100,C0LSR-ABCE-NOPF-CENTNOTRD,256147
203964,C0TVX-B-NOPF-CENT,256147
6509,C0TVX-B-NOPF-MUFAST,256147
143392,CCALIB1-B-NOPF-CENT,256147
512,CCUP2-B-NOPF-CENTNOTRD,256147
5676,CCUP2-B-SPD1-CENTNOTRD,256147
1178,CDMC7-B-NOPF-CENT,256147
1,CDMC7DG2-B-NOPF-CENT,256147
3505,CEMC7-B-NOPF-CENT,256147
2,CEMC7EG1-B-NOPF-CENT,256147
3,CEMC7EG1-B-NOPF-CENTNOTRD,256147
2,CEMC7EG2-B-NOPF-CENT,256147
1,CEMC7EJ1-B-NOPF-CENT,256147
1,CEMC7EJ1-B-NOPF-CENTNOTRD,256147
9,CEMC7EJ2-B-NOPF-CENT,256147
474,CINT7-A-NOPF-CENT,256147
427787,CINT7-B-NOPF-CENT,256147
14123,CINT7-B-NOPF-MUFAST,256147
1425,CINT7-C-NOPF-CENT,256147
2,CINT7-E-NOPF-CENT,256147
43387,CMLL7-B-NOPF-MUFAST,256147
34046,CMSH7-B-NOPF-MUFAST,256147
189,CMSL7-A-NOPF-MUFAST,256147
108244,CMSL7-B-NOPF-MUFAST,256147
60,CMSL7-C-NOPF-MUFAST,256147
183,CMSL8-B-NOPF-MUFAST,256147
26901,CMUL7-B-NOPF-MUFAST,256147
39,CPHI7-B-NOPF-CENT,256147
2,CPHI7PHH-B-NOPF-CENT,256147
23,CPHI7PHL-B-NOPF-CENT,256147
15,CPHI7PHM-B-NOPF-CENT,256147
4378,CTEST58-B-SPD1-CENTNOTRD,256147
2727,CTEST67-B-SPD1-CENTNOTRD,256147
2949,CTEST68-B-SPD1-CENTNOTRD,256147
466,CTEST69-B-SPD1-CENTNOTRD,256147
4542,CTEST70-B-SPD1-CENTNOTRD,256147
143,CTRUE-A-NOPF-CENT,256147
2971,CTRUE-B-NOPF-CENT,256147
4085,CTRUE-B-NOPF-CENTNOTRD,256147
3297,CTRUE-B-SPD1-CENTNOTRD,256147
159,CTRUE-C-NOPF-CENT,256147
798,CTRUE-E-NOPF-CENT,256147
12500,CVHMSH2-B-NOPF-CENT,256147
31926,CVHMV0M-B-NOPF-CENT,256147
44119,CVHMV0M-B-NOPF-CENTNOTRD,256147
195696,C0DMC-ABCE-NOPF-CALOFAST,256148
586045,C0EMC-ABCE-NOPF-CALOFAST,256148
100,C0LSR-ABCE-NOPF-CENTNOTRD,256148
209,C0T0A-A-NOPF-CENT,256148
113759,C0T0A-ABCE-NOPF-CENT,256148
112936,C0T0A-B-NOPF-CENT,256148
474,C0T0A-C-NOPF-CENT,256148
362,C0T0C-A-NOPF-CENT,256148
104270,C0T0C-ABCE-NOPF-CENT,256148
