counts,trigger,run
737,C0AMU-ABCE-NOPF-CENTNOTRD,264076
2196,C0DMC-B-SPD1-CENTNOTRD,264076
4540,C0EMC-B-SPD1-CENTNOTRD,264076
600,C0LSR-ABCE-NOPF-CENTNOTRD,264076
821130,C0TVX-B-NOPF-CENT,264076
114637,C0TVX-B-NOPF-MUFAST,264076
1756556,CCALIB1-B-NOPF-CENT,264076
1141818,CCUP13-B-SPD1-CENTNOTRD,264076
6868,CDMC7-B-NOPF-CENT,264076
78434,CDMC7DG1-B-NOPF-CENT,264076
93077,CDMC7DG1-B-NOPF-CENTNOTRD,264076
110419,CDMC7DG2-B-NOPF-CENT,264076
15941,CDMC7DJ1-B-NOPF-CENT,264076
18964,CDMC7DJ1-B-NOPF-CENTNOTRD,264076
3822,CDMC7DJ2-B-NOPF-CENT,264076
14727,CEMC7-B-NOPF-CENT,264076
132464,CEMC7EG1-B-NOPF-CENT,264076
157123,CEMC7EG1-B-NOPF-CENTNOTRD,264076
205560,CEMC7EG2-B-NOPF-CENT,264076
35216,CEMC7EJ1-B-NOPF-CENT,264076
41854,CEMC7EJ1-B-NOPF-CENTNOTRD,264076
8481,CEMC7EJ2-B-NOPF-CENT,264076
6667,CINT7-A-NOPF-CENT,264076
1756556,CINT7-B-NOPF-CENT,264076
256869,CINT7-B-NOPF-MUFAST,264076
11131,CINT7-C-NOPF-CENT,264076
218,CINT7-E-NOPF-CENT,264076
256480,CINT7-T-NOPF-CENT,264076
1945,CINT7HJT-T-NOPF-TRDTEST,264076
7817,CINT7HNU-T-NOPF-TRDTEST,264076
7817,CINT7HQU-T-NOPF-TRDTEST,264076
7817,CINT7HSE-T-NOPF-TRDTEST,264076
307973,CMLL7-B-NOPF-MUFAST,264076
981269,CMSH7-B-NOPF-MUFAST,264076
7111,CMSL7-A-NOPF-MUFAST,264076
2294118,CMSL7-B-NOPF-MUFAST,264076
242,CMSL7-C-NOPF-MUFAST,264076
2878,CMSL8-B-NOPF-MUFAST,264076
789536,CMUL7-B-NOPF-MUFAST,264076
169541,CPHI7-B-NOPF-CENT,264076
201395,CPHI7-B-NOPF-CENTNOTRD,264076
15649,CPHI7PHH-B-NOPF-CENTNOTRD,264076
102611,CPHI7PHL-B-NOPF-CENTNOTRD,264076
59303,CPHI7PHM-B-NOPF-CENTNOTRD,264076
15977,CTRUE-A-NOPF-CENT,264076
102920,CTRUE-B-NOPF-CENT,264076
120387,CTRUE-B-NOPF-CENTNOTRD,264076
109142,CTRUE-B-SPD1-CENTNOTRD,264076
99785,CTRUE-B-SPD2-CENT,264076
16967,CTRUE-C-NOPF-CENT,264076
5131,CTRUE-E-NOPF-CENT,264076
53694,CVHMSH2-B-NOPF-CENT,264076
4198015,CVHMV0M-B-SPD2-CENT,264076
465,C0AMU-ABCE-NOPF-CENTNOTRD,264078
1485,C0DMC-B-SPD1-CENTNOTRD,264078
