counts,trigger,run
100,C0LSR-ABCE-NOPF-CENTNOTRD,265305
587469,C0TVX-B-NOPF-CENT,265305
872678,C0TVX-B-NOPF-FAST,265305
38408,CCALIB1-B-NOPF-CENT,265305
175975,CCALIB5-B-NOPF-CENT,265305
9880,CDMC7-B-NOPF-CENT,265305
85,CDMC7DG1-B-NOPF-CENT,265305
402,CDMC7DG2-B-NOPF-CENT,265305
14,CDMC7DJ1-B-NOPF-CENT,265305
24,CDMC7DJ2-B-NOPF-CENT,265305
19069,CEMC7-B-NOPF-CENT,265305
97,CEMC7EG1-B-NOPF-CENT,265305
576,CEMC7EG2-B-NOPF-CENT,265305
48,CEMC7EJ1-B-NOPF-CENT,265305
156,CEMC7EJ2-B-NOPF-CENT,265305
28,CINT7-A-NOPF-CENT,265305
769510,CINT7-B-NOPF-CENT,265305
1142516,CINT7-B-NOPF-FAST,265305
7996,CINT7-B-NOPF-MUFAST,265305
620,CINT7-C-NOPF-CENT,265305
769508,CINT7-T-NOPF-CENT,265305
335,CINT7HJT-B-NOPF-CENT,265305
7745,CINT7HNU-B-NOPF-CENT,265305
5770,CINT7HQU-B-NOPF-CENT,265305
6998,CINT7HSE-B-NOPF-CENT,265305
5461,CMLL7-B-NOPF-MUFAST,265305
1918,CMSH7-B-NOPF-MUFAST,265305
71645,CMSL7-B-NOPF-MUFAST,265305
1899,CMUL7-B-NOPF-MUFAST,265305
333,CPHI7-B-NOPF-CENT,265305
2096,CTRUE-A-NOPF-CENT,265305
2107,CTRUE-B-NOPF-CENT,265305
2137,CTRUE-C-NOPF-CENT,265305
419,CTRUE-E-NOPF-CENT,265305
100,C0LSR-ABCE-NOPF-CENTNOTRD,265308
730385,C0TVX-B-NOPF-CENT,265308
1069876,C0TVX-B-NOPF-FAST,265308
48014,CCALIB1-B-NOPF-CENT,265308
219159,CCALIB5-B-NOPF-CENT,265308
1197,CDMC7-B-NOPF-CENT,265308
102,CDMC7DG1-B-NOPF-CENT,265308
131,CDMC7DG2-B-NOPF-CENT,265308
89,CDMC7DJ1-B-NOPF-CENT,265308
92,CDMC7DJ2-B-NOPF-CENT,265308
23780,CEMC7-B-NOPF-CENT,265308
119,CEMC7EG1-B-NOPF-CENT,265308
688,CEMC7EG2-B-NOPF-CENT,265308
68,CEMC7EJ1-B-NOPF-CENT,265308
192,CEMC7EJ2-B-NOPF-CENT,265308
36,CINT7-A-NOPF-CENT,265308
956777,CINT7-B-NOPF-CENT,265308
1401926,CINT7-B-NOPF-FAST,265308
8863,CINT7-B-NOPF-MUFAST,265308
797,CINT7-C-NOPF-CENT,265308
956776,CINT7-T-NOPF-CENT,265308
441,CINT7HJT-B-NOPF-CENT,265308
9520,CINT7HNU-B-NOPF-CENT,265308
7261,CINT7HQU-B-NOPF-CENT,265308
8794,CINT7HSE-B-NOPF-CENT,265308
6133,CMLL7-B-NOPF-MUFAST,265308
2097,CMSH7-B-NOPF-MUFAST,265308
1,CMSL7-A-NOPF-MUFAST,265308
77501,CMSL7-B-NOPF-MUFAST,265308
2140,CMUL7-B-NOPF-MUFAST,265308
371,CPHI7-B-NOPF-CENT,265308
9,CPHI7PHH-B-NOPF-CENT,265308
32,CPHI7PHL-B-NOPF-CENT,265308
18,CPHI7PHM-B-NOPF-CENT,265308
2679,CTRUE-A-NOPF-CENT,265308
2791,CTRUE-B-NOPF-CENT,265308
2764,CTRUE-C-NOPF-CENT,265308
538,CTRUE-E-NOPF-CENT,265308
100,C0LSR-ABCE-NOPF-CENTNOTRD,265309
845781,C0TVX-B-NOPF-CENT,265309
1216948,C0TVX-B-NOPF-FAST,265309
7182,C1ZED-B-NOPF-UFAST,265309
54927,CCALIB1-B-NOPF-CENT,265309
253801,CCALIB5-B-NOPF-CENT,265309
13661,CDMC7-B-NOPF-CENT,265309
121,CDMC7DG1-B-NOPF-CENT,265309
529,CDMC7DG2-B-NOPF-CENT,265309
15,CDMC7DJ1-B-NOPF-CENT,265309
33,CDMC7DJ2-B-NOPF-CENT,265309
27792,CEMC7-B-NOPF-CENT,265309
