counts,trigger,run
200,C0LSR-ABCE-NOPF-CENTNOTRD,265589
2386283,C0SMB-B-NOPF-CENTNOTRD,265589
18077,C0SMB-E-NOPF-CENTNOTRD,265589
1642931,C0TVX-B-NOPF-CENT,265589
1644214,C0TVX-B-NOPF-CENTNOTRD,265589
1642928,C0TVX-T-NOPF-CENT,265589
1894751,CADAND-B-NOPF-CENTNOTRD,265589
102974,CCALIB1-B-NOPF-CENT,265589
1,CCUP14-A-NOPF-CENTNOTRD,265589
969,CCUP14-B-NOPF-CENTNOTRD,265589
1,CCUP14-C-NOPF-CENTNOTRD,265589
154,CCUP15-A-NOPF-CENTNOTRD,265589
56262,CCUP15-B-NOPF-CENTNOTRD,265589
107,CCUP15-C-NOPF-CENTNOTRD,265589
16,CCUP15-E-NOPF-CENTNOTRD,265589
3122322,CINT1-B-NOPF-CENTNOTRD,265589
3055891,CINT10-B-NOPF-CENTNOTRD,265589
94060,CINT11-A-NOPF-CENTNOTRD,265589
3283554,CINT11-B-NOPF-CENTNOTRD,265589
96556,CINT11-C-NOPF-CENTNOTRD,265589
18944,CINT11-E-NOPF-CENTNOTRD,265589
5534,CINT5-A-NOPF-CENTNOTRD,265589
2890577,CINT5-B-NOPF-CENTNOTRD,265589
7056,CINT5-C-NOPF-CENTNOTRD,265589
843,CINT5-E-NOPF-CENTNOTRD,265589
89,CINT7-A-NOPF-CENT,265589
89,CINT7-A-NOPF-CENTNOTRD,265589
2065812,CINT7-B-NOPF-CENT,265589
2067441,CINT7-B-NOPF-CENTNOTRD,265589
286420,CINT7-B-NOPF-MUFAST,265589
1472,CINT7-C-NOPF-CENT,265589
1473,CINT7-C-NOPF-CENTNOTRD,265589
1,CINT7-E-NOPF-CENT,265589
1,CINT7-E-NOPF-CENTNOTRD,265589
2065807,CINT7-T-NOPF-CENT,265589
316,CINT7HJT-T-NOPF-CENT,265589
3851,CINT7HNU-T-NOPF-CENT,265589
8907,CINT7HQU-T-NOPF-CENT,265589
8540,CINT7HSE-T-NOPF-CENT,265589
8623,CMSH7-B-NOPF-MUFAST,265589
6,CMSL7-A-NOPF-MUFAST,265589
287214,CMSL7-B-NOPF-MUFAST,265589
2,CMSL7-C-NOPF-MUFAST,265589
9302,CMUL7-B-NOPF-MUFAST,265589
3612,CMUP14-B-NOPF-MUFAST,265589
4,CMUP15-A-NOPF-ALLNOTRD,265589
57,CMUP15-B-NOPF-ALLNOTRD,265589
1264,CPHI7-B-NOPF-CENT,265589
48,CPHI7PHH-B-NOPF-CENTNOTRD,265589
119,CPHI7PHL-B-NOPF-CENTNOTRD,265589
89,CPHI7PHM-B-NOPF-CENTNOTRD,265589
2703,CTRUE-A-NOPF-CENT,265589
17353,CTRUE-B-NOPF-CENT,265589
2755,CTRUE-C-NOPF-CENT,265589
1913,CTRUE-E-NOPF-CENT,265589
16667,CV0M7-B-NOPF-CENT,265589
100,C0LSR-ABCE-NOPF-CENTNOTRD,265594
745099,C0SMB-B-NOPF-CENTNOTRD,265594
784,C0SMB-E-NOPF-CENTNOTRD,265594
530210,C0TVX-B-NOPF-CENT,265594
531068,C0TVX-B-NOPF-CENTNOTRD,265594
530208,C0TVX-T-NOPF-CENT,265594
24829,C1ZED-B-NOPF-UFAST,265594
612215,CADAND-B-NOPF-CENTNOTRD,265594
66909,CCALIB1-B-NOPF-CENT,265594
265459,CCALIB5-B-NOPF-CENT,265594
343,CCUP14-B-NOPF-CENTNOTRD,265594
896,CCUP14-B-NOPF-UFAST,265594
2,CCUP14-C-NOPF-CENTNOTRD,265594
64,CCUP15-A-NOPF-CENTNOTRD,265594
17853,CCUP15-B-NOPF-CENTNOTRD,265594
39,CCUP15-C-NOPF-CENTNOTRD,265594
4,CCUP15-E-NOPF-CENTNOTRD,265594
983271,CINT1-B-NOPF-CENTNOTRD,265594
988142,CINT10-B-NOPF-CENTNOTRD,265594
5804,CINT11-A-NOPF-CENTNOTRD,265594
1035784,CINT11-B-NOPF-CENTNOTRD,265594
6217,CINT11-C-NOPF-CENTNOTRD,265594
1107,CINT11-E-NOPF-CENTNOTRD,265594
1893,CINT5-A-NOPF-CENTNOTRD,265594
934371,CINT5-B-NOPF-CENTNOTRD,265594
2439,CINT5-C-NOPF-CENTNOTRD,265594
316,CINT5-E-NOPF-CENTNOTRD,265594
32,CINT7-A-NOPF-CENT,265594
32,CINT7-A-NOPF-CENTNOTRD,265594
667277,CINT7-B-NOPF-CENT,265594
668391,CINT7-B-NOPF-CENTNOTRD,265594
93015,CINT7-B-NOPF-MUFAST,265594
516,CINT7-C-NOPF-CENT,265594
517,CINT7-C-NOPF-CENTNOTRD,265594
667274,CINT7-T-NOPF-CENT,265594
103,CINT7HJT-T-NOPF-CENT,265594
1314,CINT7HNU-T-NOPF-CENT,265594
2955,CINT7HQU-T-NOPF-CENT,265594
2775,CINT7HSE-T-NOPF-CENT,265594
2404,CMSH7-B-NOPF-MUFAST,265594
1,CMSL7-A-NOPF-MUFAST,265594
82087,CMSL7-B-NOPF-MUFAST,265594
2624,CMUL7-B-NOPF-MUFAST,265594
1100,CMUP14-B-NOPF-MUFAST,265594
1,CMUP15-A-NOPF-ALLNOTRD,265594
23,CMUP15-B-NOPF-ALLNOTRD,265594
399,CPHI7-B-NOPF-CENT,265594
16,CPHI7PHH-B-NOPF-CENTNOTRD,265594
40,CPHI7PHL-B-NOPF-CENTNOTRD,265594
28,CPHI7PHM-B-NOPF-CENTNOTRD,265594
1006,CTRUE-A-NOPF-CENT,265594
6080,CTRUE-B-NOPF-CENT,265594
970,CTRUE-C-NOPF-CENT,265594
690,CTRUE-E-NOPF-CENT,265594
5105,CV0M7-B-NOPF-CENT,265594
300,C0LSR-ABCE-NOPF-CENTNOTRD,265596
3843934,C0SMB-B-NOPF-CENTNOTRD,265596
35923,C0SMB-E-NOPF-CENTNOTRD,265596
2615506,C0TVX-B-NOPF-CENT,265596
2620041,C0TVX-B-NOPF-CENTNOTRD,265596
2615499,C0TVX-T-NOPF-CENT,265596
123719,C1ZED-B-NOPF-UFAST,265596
3020773,CADAND-B-NOPF-CENTNOTRD,265596
329334,CCALIB1-B-NOPF-CENT,265596
1307517,CCALIB5-B-NOPF-CENT,265596
1,CCUP14-A-NOPF-CENTNOTRD,265596
1530,CCUP14-B-NOPF-CENTNOTRD,265596
4368,CCUP14-B-NOPF-UFAST,265596
6,CCUP14-C-NOPF-CENTNOTRD,265596
350,CCUP15-A-NOPF-CENTNOTRD,265596
89514,CCUP15-B-NOPF-CENTNOTRD,265596
223,CCUP15-C-NOPF-CENTNOTRD,265596
20,CCUP15-E-NOPF-CENTNOTRD,265596
5015021,CINT1-B-NOPF-CENTNOTRD,265596
4870819,CINT10-B-NOPF-CENTNOTRD,265596
185392,CINT11-A-NOPF-CENTNOTRD,265596
5272783,CINT11-B-NOPF-CENTNOTRD,265596
189488,CINT11-C-NOPF-CENTNOTRD,265596
37483,CINT11-E-NOPF-CENTNOTRD,265596
9363,CINT5-A-NOPF-CENTNOTRD,265596
4606622,CINT5-B-NOPF-CENTNOTRD,265596
11956,CINT5-C-NOPF-CENTNOTRD,265596
1507,CINT5-E-NOPF-CENTNOTRD,265596
131,CINT7-A-NOPF-CENT,265596
132,CINT7-A-NOPF-CENTNOTRD,265596
3290997,CINT7-B-NOPF-CENT,265596
3296628,CINT7-B-NOPF-CENTNOTRD,265596
826148,CINT7-B-NOPF-MUFAST,265596
2515,CINT7-C-NOPF-CENT,265596
2520,CINT7-C-NOPF-CENTNOTRD,265596
3290989,CINT7-T-NOPF-CENT,265596
