counts,trigger,run
100,C0LSR-ABCE-NOPF-CENTNOTRD,266405
437823,C0SMB-B-NOPF-CENTNOTRD,266405
369,C0SMB-E-NOPF-CENTNOTRD,266405
37,C0TVX-B-NOPF-ALLNOTRD,266405
296390,C0TVX-B-NOPF-CENT,266405
314471,C0TVX-B-NOPF-CENTNOTRD,266405
593934,C0TVX-B-NOPF-FAST,266405
361863,CADAND-B-NOPF-CENTNOTRD,266405
27946,CCALIB1-B-NOPF-CENT,266405
147804,CCALIB5-B-NOPF-CENT,266405
24,CCUP20-B-NOPF-CENTNOTRD,266405
24,CCUP20-B-SPD2-CENTNOTRD,266405
7972,CCUP21-B-NOPF-CENTNOTRD,266405
7972,CCUP21-B-SPD2-CENTNOTRD,266405
591135,CINT1-B-NOPF-CENTNOTRD,266405
586879,CINT10-B-NOPF-CENTNOTRD,266405
2732,CINT11-A-NOPF-CENTNOTRD,266405
613868,CINT11-B-NOPF-CENTNOTRD,266405
2558,CINT11-C-NOPF-CENTNOTRD,266405
512,CINT11-E-NOPF-CENTNOTRD,266405
1022,CINT5-A-NOPF-CENTNOTRD,266405
563644,CINT5-B-NOPF-CENTNOTRD,266405
870,CINT5-C-NOPF-CENTNOTRD,266405
140,CINT5-E-NOPF-CENTNOTRD,266405
27,CINT7-A-NOPF-CENTNOTRD,266405
372544,CINT7-B-NOPF-CENT,266405
395279,CINT7-B-NOPF-CENTNOTRD,266405
746996,CINT7-B-NOPF-FAST,266405
29811,CINT7-B-NOPF-MUFAST,266405
66,CINT7-C-NOPF-CENTNOTRD,266405
3296,CMSH7-B-NOPF-MUFAST,266405
4,CMSL7-A-NOPF-MUFAST,266405
120266,CMSL7-B-NOPF-MUFAST,266405
5249,CMUL7-B-NOPF-MUFAST,266405
4212,CMUP14-B-NOPF-MUFAST,266405
7,CMUP15-A-NOPF-ALLNOTRD,266405
6,CMUP15-B-NOPF-ALLNOTRD,266405
3304,CMUP16-B-NOPF-MUFAST,266405
809,CMUP18-B-NOPF-MUFAST,266405
196,CMUP19-B-NOPF-MUFAST,266405
1,CMUP20-A-NOPF-ALLNOTRD,266405
5,CMUP20-B-NOPF-ALLNOTRD,266405
204,CTRUE-A-NOPF-CENT,266405
419,CTRUE-B-NOPF-CENT,266405
208,CTRUE-C-NOPF-CENT,266405
245,CTRUE-E-NOPF-CENT,266405
100,C0LSR-ABCE-NOPF-CENTNOTRD,266437
2413,C0TVX-B-NOPF-ALLNOTRD,266437
124147,C0TVX-B-NOPF-CENT,266437
44895,C0TVX-T-NOPF-CENTNOPMD,266437
1,C1ZED-A-NOPF-UFAST,266437
45075,C1ZED-B-NOPF-UFAST,266437
10,C1ZED-C-NOPF-UFAST,266437
23292,CCALIB1-B-NOPF-CENT,266437
15,CCUP20-A-NOPF-CENTNOTRD,266437
12200,CCUP20-B-NOPF-CENTNOTRD,266437
2151,CCUP20-B-SPD2-CENTNOTRD,266437
43,CCUP20-C-NOPF-CENTNOTRD,266437
44,CCUP21-A-NOPF-CENTNOTRD,266437
4097,CCUP21-B-NOPF-CENTNOTRD,266437
1278,CCUP21-B-SPD2-CENTNOTRD,266437
146,CCUP21-C-NOPF-CENTNOTRD,266437
3,CCUP21-E-NOPF-CENTNOTRD,266437
811,CDMC7-B-NOPF-CENTNOPMD,266437
8691,CDMC7DG1-B-NOPF-CENTNOPMD,266437
12141,CDMC7DG1-B-NOPF-CENTNOTRD,266437
962,CDMC7DG2-B-NOPF-CENTNOPMD,266437
743,CDMC7DJ1-B-NOPF-CENTNOPMD,266437
1065,CDMC7DJ1-B-NOPF-CENTNOTRD,266437
45,CDMC7DJ2-B-NOPF-CENTNOPMD,266437
1592,CEMC7-B-NOPF-CENTNOPMD,266437
15269,CEMC7EG1-B-NOPF-CENTNOPMD,266437
21181,CEMC7EG1-B-NOPF-CENTNOTRD,266437
1754,CEMC7EG2-B-NOPF-CENTNOPMD,266437
4898,CEMC7EJ1-B-NOPF-CENTNOPMD,266437
6827,CEMC7EJ1-B-NOPF-CENTNOTRD,266437
494,CEMC7EJ2-B-NOPF-CENTNOPMD,266437
14674,CEMC8EG1-B-NOPF-CENTNOPMD,266437
20347,CEMC8EG1-B-NOPF-CENTNOTRD,266437
1,CINT7-A-NOPF-CENT,266437
155710,CINT7-B-NOPF-CENT,266437
15219,CINT7-B-NOPF-MUFAST,266437
2,CINT7-C-NOPF-CENT,266437
56577,CINT7-T-NOPF-CENTNOPMD,266437
1854,CINT7HJT-T-NOPF-CENTNOPMD,266437
20093,CINT7HNU-T-NOPF-CENTNOPMD,266437
43989,CINT7HQU-T-NOPF-CENTNOPMD,266437
41289,CINT7HSE-T-NOPF-CENTNOPMD,266437
16482,CMLL7-B-NOPF-MUFAST,266437
117028,CMSH7-B-NOPF-MUFAST,266437
11,CMSL7-A-NOPF-MUFAST,266437
115492,CMSL7-B-NOPF-MUFAST,266437
21,CMSL7-C-NOPF-MUFAST,266437
187401,CMUL7-B-NOPF-MUFAST,266437
494056,CMUP14-B-NOPF-MUFAST,266437
41,CMUP15-A-NOPF-ALLNOTRD,266437
8477,CMUP15-B-NOPF-ALLNOTRD,266437
23,CMUP15-C-NOPF-ALLNOTRD,266437
387960,CMUP16-B-NOPF-MUFAST,266437
5291,CMUP17-B-NOPF-ALLNOTRD,266437
4782,CPHI7-B-NOPF-CENTNOPMD,266437
615,CPHI7PHH-B-NOPF-CENTNOPMD,266437
859,CPHI7PHH-B-NOPF-CENTNOTRD,266437
1548,CPHI7PHL-B-NOPF-CENTNOPMD,266437
2182,CPHI7PHL-B-NOPF-CENTNOTRD,266437
1094,CPHI7PHM-B-NOPF-CENTNOPMD,266437
1541,CPHI7PHM-B-NOPF-CENTNOTRD,266437
4,CTRUE-A-NOPF-CENT,266437
336,CTRUE-B-NOPF-CENT,266437
66,CTRUE-C-NOPF-CENT,266437
349,CTRUE-E-NOPF-CENT,266437
99645,CV0M7-B-NOPF-CENT,266437
100,C0LSR-ABCE-NOPF-CENTNOTRD,266438
4137,C0TVX-B-NOPF-ALLNOTRD,266438
241353,C0TVX-B-NOPF-CENT,266438
94874,C0TVX-T-NOPF-CENTNOPMD,266438
2,C1ZED-A-NOPF-UFAST,266438
85636,C1ZED-B-NOPF-UFAST,266438
24,C1ZED-C-NOPF-UFAST,266438
45601,CCALIB1-B-NOPF-CENT,266438
23,CCUP20-A-NOPF-CENTNOTRD,266438
21157,CCUP20-B-NOPF-CENTNOTRD,266438
3791,CCUP20-B-SPD2-CENTNOTRD,266438
98,CCUP20-C-NOPF-CENTNOTRD,266438
66,CCUP21-A-NOPF-CENTNOTRD,266438
7825,CCUP21-B-NOPF-CENTNOTRD,266438
2697,CCUP21-B-SPD2-CENTNOTRD,266438
291,CCUP21-C-NOPF-CENTNOTRD,266438
1,CCUP21-E-NOPF-CENTNOTRD,266438
1457,CDMC7-B-NOPF-CENTNOPMD,266438
14307,CDMC7DG1-B-NOPF-CENTNOPMD,266438
19442,CDMC7DG1-B-NOPF-CENTNOTRD,266438
1826,CDMC7DG2-B-NOPF-CENTNOPMD,266438
1311,CDMC7DJ1-B-NOPF-CENTNOPMD,266438
1770,CDMC7DJ1-B-NOPF-CENTNOTRD,266438
126,CDMC7DJ2-B-NOPF-CENTNOPMD,266438
2793,CEMC7-B-NOPF-CENTNOPMD,266438
27399,CEMC7EG1-B-NOPF-CENTNOPMD,266438
37162,CEMC7EG1-B-NOPF-CENTNOTRD,266438
3373,CEMC7EG2-B-NOPF-CENTNOPMD,266438
8692,CEMC7EJ1-B-NOPF-CENTNOPMD,266438
11772,CEMC7EJ1-B-NOPF-CENTNOTRD,266438
940,CEMC7EJ2-B-NOPF-CENTNOPMD,266438
26287,CEMC8EG1-B-NOPF-CENTNOPMD,266438
35648,CEMC8EG1-B-NOPF-CENTNOTRD,266438
6,CINT7-A-NOPF-CENT,266438
302328,CINT7-B-NOPF-CENT,266438
30410,CINT7-B-NOPF-MUFAST,266438
14,CINT7-C-NOPF-CENT,266438
118840,CINT7-T-NOPF-CENTNOPMD,266438
3469,CINT7HJT-T-NOPF-CENTNOPMD,266438
38763,CINT7HNU-T-NOPF-CENTNOPMD,266438
84343,CINT7HQU-T-NOPF-CENTNOPMD,266438
78973,CINT7HSE-T-NOPF-CENTNOPMD,266438
32289,CMLL7-B-NOPF-MUFAST,266438
214753,CMSH7-B-NOPF-MUFAST,266438
23,CMSL7-A-NOPF-MUFAST,266438
228665,CMSL7-B-NOPF-MUFAST,266438
35,CMSL7-C-NOPF-MUFAST,266438
343407,CMUL7-B-NOPF-MUFAST,266438
8893,CPHI7-B-NOPF-CENTNOPMD,266438
1120,CPHI7PHH-B-NOPF-CENTNOPMD,266438
1535,CPHI7PHH-B-NOPF-CENTNOTRD,266438
2757,CPHI7PHL-B-NOPF-CENTNOPMD,266438
3699,CPHI7PHL-B-NOPF-CENTNOTRD,266438
1940,CPHI7PHM-B-NOPF-CENTNOPMD,266438
2638,CPHI7PHM-B-NOPF-CENTNOTRD,266438
19,CTRUE-A-NOPF-CENT,266438
1086,CTRUE-B-NOPF-CENT,266438
165,CTRUE-C-NOPF-CENT,266438
648,CTRUE-E-NOPF-CENT,266438
182083,CV0M7-B-NOPF-CENT,266438
100,C0LSR-ABCE-NOPF-CENTNOTRD,266439
2231,C0TVX-B-NOPF-ALLNOTRD,266439
150970,C0TVX-B-NOPF-CENT,266439
59618,C0TVX-T-NOPF-CENTNOPMD,266439
2,C1ZED-A-NOPF-UFAST,266439
57004,C1ZED-B-NOPF-UFAST,266439
17,C1ZED-C-NOPF-UFAST,266439
28355,CCALIB1-B-NOPF-CENT,266439
11,CCUP22-A-NOPF-CENTNOTRD,266439
11823,CCUP22-B-NOPF-CENTNOTRD,266439
2392,CCUP22-B-SPD2-CENTNOTRD,266439
48,CCUP22-C-NOPF-CENTNOTRD,266439
38,CCUP23-A-NOPF-CENTNOTRD,266439
6621,CCUP23-B-SPD2-CENTNOTRD,266439
179,CCUP23-C-NOPF-CENTNOTRD,266439
2,CCUP23-E-NOPF-CENTNOTRD,266439
907,CDMC7-B-NOPF-CENTNOPMD,266439
8291,CDMC7DG1-B-NOPF-CENTNOPMD,266439
10985,CDMC7DG1-B-NOPF-CENTNOTRD,266439
1109,CDMC7DG2-B-NOPF-CENTNOPMD,266439
718,CDMC7DJ1-B-NOPF-CENTNOPMD,266439
984,CDMC7DJ1-B-NOPF-CENTNOTRD,266439
54,CDMC7DJ2-B-NOPF-CENTNOPMD,266439
1800,CEMC7-B-NOPF-CENTNOPMD,266439
16040,CEMC7EG1-B-NOPF-CENTNOPMD,266439
21388,CEMC7EG1-B-NOPF-CENTNOTRD,266439
2153,CEMC7EG2-B-NOPF-CENTNOPMD,266439
5119,CEMC7EJ1-B-NOPF-CENTNOPMD,266439
6836,CEMC7EJ1-B-NOPF-CENTNOTRD,266439
599,CEMC7EJ2-B-NOPF-CENTNOPMD,266439
15438,CEMC8EG1-B-NOPF-CENTNOPMD,266439
20572,CEMC8EG1-B-NOPF-CENTNOTRD,266439
1,CINT7-A-NOPF-CENT,266439
189373,CINT7-B-NOPF-CENT,266439
19067,CINT7-B-NOPF-MUFAST,266439
4,CINT7-C-NOPF-CENT,266439
74565,CINT7-T-NOPF-CENTNOPMD,266439
1935,CINT7HJT-T-NOPF-CENTNOPMD,266439
22197,CINT7HNU-T-NOPF-CENTNOPMD,266439
48963,CINT7HQU-T-NOPF-CENTNOPMD,266439
46162,CINT7HSE-T-NOPF-CENTNOPMD,266439
21728,CMLL7-B-NOPF-MUFAST,266439
127917,CMSH7-B-NOPF-MUFAST,266439
14,CMSL7-A-NOPF-MUFAST,266439
150824,CMSL7-B-NOPF-MUFAST,266439
23,CMSL7-C-NOPF-MUFAST,266439
205168,CMUL7-B-NOPF-MUFAST,266439
2664,CMUP22-B-NOPF-ALLNOTRD,266439
60258,CMUP23-B-NOPF-MUFAST,266439
5836,CPHI7-B-NOPF-CENTNOPMD,266439
601,CPHI7PHH-B-NOPF-CENTNOPMD,266439
808,CPHI7PHH-B-NOPF-CENTNOTRD,266439
1603,CPHI7PHL-B-NOPF-CENTNOPMD,266439
2110,CPHI7PHL-B-NOPF-CENTNOTRD,266439
1111,CPHI7PHM-B-NOPF-CENTNOPMD,266439
1469,CPHI7PHM-B-NOPF-CENTNOTRD,266439
50,CTRUE-A-NOPF-CENT,266439
2497,CTRUE-B-NOPF-CENT,266439
562,CTRUE-C-NOPF-CENT,266439
399,CTRUE-E-NOPF-CENT,266439
113137,CV0M7-B-NOPF-CENT,266439
200,C0LSR-ABCE-NOPF-CENTNOTRD,266441
11055,C0TVX-B-NOPF-ALLNOTRD,266441
729117,C0TVX-B-NOPF-CENT,266441
294117,C0TVX-T-NOPF-CENTNOPMD,266441
6,C1ZED-A-NOPF-UFAST,266441
206122,C1ZED-B-NOPF-UFAST,266441
43,C1ZED-C-NOPF-UFAST,266441
137452,CCALIB1-B-NOPF-CENT,266441
44,CCUP22-A-NOPF-CENTNOTRD,266441
