counts,trigger,run
100,C0LSR-ABCE-NOPF-CENTNOTRD,267161
1082601,C0TVX-B-NOPF-CENT,267161
2167681,C0TVX-B-NOPF-FAST,267161
56735,CCALIB1-B-NOPF-CENT,267161
281706,CCALIB5-B-NOPF-CENT,267161
4564,CDMC7-B-NOPF-CENT,267161
103,CDMC7DG1-B-NOPF-CENT,267161
545,CDMC7DG2-B-NOPF-CENT,267161
15,CDMC7DJ1-B-NOPF-CENT,267161
40,CDMC7DJ2-B-NOPF-CENT,267161
8716,CEMC7-B-NOPF-CENT,267161
188,CEMC7EG1-B-NOPF-CENT,267161
996,CEMC7EG2-B-NOPF-CENT,267161
111,CEMC7EJ1-B-NOPF-CENT,267161
271,CEMC7EJ2-B-NOPF-CENT,267161
482,CINT7-A-NOPF-CENT,267161
1417475,CINT7-B-NOPF-CENT,267161
2836656,CINT7-B-NOPF-FAST,267161
19320,CINT7-B-NOPF-MUFAST,267161
101,CINT7-C-NOPF-CENT,267161
2,CINT7-E-NOPF-CENT,267161
414965,CINT7-T-NOPF-CENT,267161
96,CINT7HJT-B-NOPF-CENT,267161
2209,CINT7HNU-B-NOPF-CENT,267161
4966,CINT7HQU-B-NOPF-CENT,267161
4457,CINT7HSE-B-NOPF-CENT,267161
75804,CMLL7-B-NOPF-MUFAST,267161
26500,CMSH7-B-NOPF-MUFAST,267161
108,CMSL7-A-NOPF-MUFAST,267161
241239,CMSL7-B-NOPF-MUFAST,267161
10,CMSL7-C-NOPF-MUFAST,267161
26531,CMUL7-B-NOPF-MUFAST,267161
3031,CMUP14-A-NOPF-MUFAST,267161
91184,CMUP14-B-NOPF-MUFAST,267161
727,CMUP14-C-NOPF-MUFAST,267161
586,CPHI7-B-NOPF-CENT,267161
27,CPHI7PHH-B-NOPF-CENT,267161
57,CPHI7PHL-B-NOPF-CENT,267161
38,CPHI7PHM-B-NOPF-CENT,267161
278,CTRUE-A-NOPF-CENT,267161
4250,CTRUE-B-NOPF-CENT,267161
2043,CTRUE-C-NOPF-CENT,267161
419,CTRUE-E-NOPF-CENT,267161
800,C0LSR-ABCE-NOPF-CENTNOTRD,267163
16532492,C0TVX-B-NOPF-CENT,267163
