counts,trigger,run
100,C0LSR-ABCE-NOPF-CENTNOTRD,270819
898253,C0TVX-B-NOPF-CENT,270819
455245,CCALIB5-B-NOPF-CENT,270819
90997,CINT8-B-NOPF-CENT,270819
100,C0LSR-ABCE-NOPF-CENTNOTRD,270820
1153267,C0TVX-B-NOPF-CENT,270820
585700,CCALIB5-B-NOPF-CENT,270820
117649,CINT8-B-NOPF-CENT,270820
100,C0LSR-ABCE-NOPF-CENTNOTRD,270822
226972,C0TVX-B-NOPF-CENT,270822
375635,CADAND-B-NOPF-CENTNOTRD,270822
59229,CCALIB1-B-NOPF-CENT,270822
458687,CINT7-B-NOPF-CENT,270822
459410,CINT7-B-NOPF-CENTNOTRD,270822
13067,CINT7-B-NOPF-MUFAST,270822
1017,CMSH7-B-NOPF-MUFAST,270822
207,CMSL7-A-NOPF-MUFAST,270822
37356,CMSL7-B-NOPF-MUFAST,270822
80,CMSL7-C-NOPF-MUFAST,270822
825,CMUL7-B-NOPF-MUFAST,270822
82,CPHI7-B-NOPF-CENT,270822
349,CTRUE-A-NOPF-CENT,270822
1555,CTRUE-B-NOPF-CENT,270822
377,CTRUE-C-NOPF-CENT,270822
208,CTRUE-E-NOPF-CENT,270822
1418,CVHMV0M-B-NOPF-CENT,270822
1375,CVHMV0M-B-SPD2-CENT,270822
124369,C0TVX-B-NOPF-CENT,270823
205908,CADAND-B-NOPF-CENTNOTRD,270823
33351,CCALIB1-B-NOPF-CENT,270823
251502,CINT7-B-NOPF-CENT,270823
251846,CINT7-B-NOPF-CENTNOTRD,270823
6967,CINT7-B-NOPF-MUFAST,270823
549,CMSH7-B-NOPF-MUFAST,270823
121,CMSL7-A-NOPF-MUFAST,270823
20163,CMSL7-B-NOPF-MUFAST,270823
52,CMSL7-C-NOPF-MUFAST,270823
427,CMUL7-B-NOPF-MUFAST,270823
36,CPHI7-B-NOPF-CENT,270823
431,CTRUE-A-NOPF-CENT,270823
1754,CTRUE-B-NOPF-CENT,270823
477,CTRUE-C-NOPF-CENT,270823
241,CTRUE-E-NOPF-CENT,270823
2801,CVHMV0M-B-NOPF-CENT,270823
2695,CVHMV0M-B-SPD2-CENT,270823
300,C0LSR-ABCE-NOPF-CENTNOTRD,270824
4518462,C0TVX-B-NOPF-CENT,270824
7344503,CADAND-B-NOPF-CENTNOTRD,270824
947483,CCALIB1-B-NOPF-CENT,270824
8974775,CINT7-B-NOPF-CENT,270824
