counts,trigger,run
100,C0LSR-ABCE-NOPF-CENTNOTRD,270882
677170,C0TVX-B-NOPF-CENT,270882
1125746,CADAND-B-NOPF-CENTNOTRD,270882
181603,CCALIB1-B-NOPF-CENT,270882
5579,CDMC7-B-NOPF-CENT,270882
75,CDMC7DG1-B-NOPF-CENT,270882
1098,CDMC7DG2-B-NOPF-CENT,270882
19,CDMC7DJ1-B-NOPF-CENT,270882
36,CDMC7DJ2-B-NOPF-CENT,270882
12396,CEMC7-B-NOPF-CENT,270882
193,CEMC7EG1-B-NOPF-CENT,270882
2282,CEMC7EG2-B-NOPF-CENT,270882
171,CEMC7EJ1-B-NOPF-CENT,270882
506,CEMC7EJ2-B-NOPF-CENT,270882
1378780,CINT7-B-NOPF-CENT,270882
1382081,CINT7-B-NOPF-CENTNOTRD,270882
42883,CINT7-B-NOPF-MUFAST,270882
3289,CMSH7-B-NOPF-MUFAST,270882
778,CMSL7-A-NOPF-MUFAST,270882
122012,CMSL7-B-NOPF-MUFAST,270882
408,CMSL7-C-NOPF-MUFAST,270882
2625,CMUL7-B-NOPF-MUFAST,270882
240,CPHI7-B-NOPF-CENT,270882
2328,CTRUE-A-NOPF-CENT,270882
9851,CTRUE-B-NOPF-CENT,270882
2423,CTRUE-C-NOPF-CENT,270882
1330,CTRUE-E-NOPF-CENT,270882
24582,CVHMV0M-B-NOPF-CENT,270882
23872,CVHMV0M-B-SPD2-CENT,270882
300,C0LSR-ABCE-NOPF-CENTNOTRD,270883
3913891,C0TVX-B-NOPF-CENT,270883
6476084,CADAND-B-NOPF-CENTNOTRD,270883
1046281,CCALIB1-B-NOPF-CENT,270883
30447,CDMC7-B-NOPF-CENT,270883
434,CDMC7DG1-B-NOPF-CENT,270883
5694,CDMC7DG2-B-NOPF-CENT,270883
91,CDMC7DJ1-B-NOPF-CENT,270883
212,CDMC7DJ2-B-NOPF-CENT,270883
71191,CEMC7-B-NOPF-CENT,270883
1069,CEMC7EG1-B-NOPF-CENT,270883
12978,CEMC7EG2-B-NOPF-CENT,270883
1024,CEMC7EJ1-B-NOPF-CENT,270883
2911,CEMC7EJ2-B-NOPF-CENT,270883
7929272,CINT7-B-NOPF-CENT,270883
7945608,CINT7-B-NOPF-CENTNOTRD,270883
217685,CINT7-B-NOPF-MUFAST,270883
16632,CMSH7-B-NOPF-MUFAST,270883
3792,CMSL7-A-NOPF-MUFAST,270883
619863,CMSL7-B-NOPF-MUFAST,270883
2647,CMSL7-C-NOPF-MUFAST,270883
13311,CMUL7-B-NOPF-MUFAST,270883
1353,CPHI7-B-NOPF-CENT,270883
13651,CTRUE-A-NOPF-CENT,270883
56601,CTRUE-B-NOPF-CENT,270883
14101,CTRUE-C-NOPF-CENT,270883
7535,CTRUE-E-NOPF-CENT,270883
138452,CVHMV0M-B-NOPF-CENT,270883
134554,CVHMV0M-B-SPD2-CENT,270883
100,C0LSR-ABCE-NOPF-CENTNOTRD,270931
631279,C0TVX-B-NOPF-CENT,270931
1058782,CADAND-B-NOPF-CENTNOTRD,270931
137514,CCALIB1-B-NOPF-CENT,270931
4964,CDMC7-B-NOPF-CENT,270931
69,CDMC7DG1-B-NOPF-CENT,270931
966,CDMC7DG2-B-NOPF-CENT,270931
14,CDMC7DJ1-B-NOPF-CENT,270931
26,CDMC7DJ2-B-NOPF-CENT,270931
11447,CEMC7-B-NOPF-CENT,270931
182,CEMC7EG1-B-NOPF-CENT,270931
2095,CEMC7EG2-B-NOPF-CENT,270931
185,CEMC7EJ1-B-NOPF-CENT,270931
493,CEMC7EJ2-B-NOPF-CENT,270931
1294962,CINT7-B-NOPF-CENT,270931
1324395,CINT7-B-NOPF-CENTNOTRD,270931
34381,CINT7-B-NOPF-MUFAST,270931
16178,CMSH7-B-NOPF-MUFAST,270931
3890,CMSL7-A-NOPF-MUFAST,270931
578988,CMSL7-B-NOPF-MUFAST,270931
1341,CMSL7-C-NOPF-MUFAST,270931
12404,CMUL7-B-NOPF-MUFAST,270931
204,CPHI7-B-NOPF-CENT,270931
1404,CTRUE-A-NOPF-CENT,270931
6583,CTRUE-B-NOPF-CENT,270931
1408,CTRUE-C-NOPF-CENT,270931
110,CTRUE-E-NOPF-CENT,270931
23503,CVHMV0M-B-NOPF-CENT,270931
22651,CVHMV0M-B-SPD2-CENT,270931
200,C0LSR-ABCE-NOPF-CENTNOTRD,270934
1733059,C0TVX-B-NOPF-CENT,270934
2907699,CADAND-B-NOPF-CENTNOTRD,270934
376080,CCALIB1-B-NOPF-CENT,270934
13429,CDMC7-B-NOPF-CENT,270934
217,CDMC7DG1-B-NOPF-CENT,270934
2609,CDMC7DG2-B-NOPF-CENT,270934
39,CDMC7DJ1-B-NOPF-CENT,270934
95,CDMC7DJ2-B-NOPF-CENT,270934
31537,CEMC7-B-NOPF-CENT,270934
492,CEMC7EG1-B-NOPF-CENT,270934
5831,CEMC7EG2-B-NOPF-CENT,270934
479,CEMC7EJ1-B-NOPF-CENT,270934
1290,CEMC7EJ2-B-NOPF-CENT,270934
3545453,CINT7-B-NOPF-CENT,270934
3626991,CINT7-B-NOPF-CENTNOTRD,270934
109645,CINT7-B-NOPF-MUFAST,270934
566,CPHI7-B-NOPF-CENT,270934
3926,CTRUE-A-NOPF-CENT,270934
19018,CTRUE-B-NOPF-CENT,270934
3888,CTRUE-C-NOPF-CENT,270934
315,CTRUE-E-NOPF-CENT,270934
63656,CVHMV0M-B-NOPF-CENT,270934
61461,CVHMV0M-B-SPD2-CENT,270934
400,C0LSR-ABCE-NOPF-CENTNOTRD,270935
6133603,C0TVX-B-NOPF-CENT,270935
10247708,CADAND-B-NOPF-CENTNOTRD,270935
1322160,CCALIB1-B-NOPF-CENT,270935
47989,CDMC7-B-NOPF-CENT,270935
699,CDMC7DG1-B-NOPF-CENT,270935
9181,CDMC7DG2-B-NOPF-CENT,270935
134,CDMC7DJ1-B-NOPF-CENT,270935
282,CDMC7DJ2-B-NOPF-CENT,270935
110678,CEMC7-B-NOPF-CENT,270935
1673,CEMC7EG1-B-NOPF-CENT,270935
20603,CEMC7EG2-B-NOPF-CENT,270935
1601,CEMC7EJ1-B-NOPF-CENT,270935
4610,CEMC7EJ2-B-NOPF-CENT,270935
12465414,CINT7-B-NOPF-CENT,270935
12729117,CINT7-B-NOPF-CENTNOTRD,270935
294518,CINT7-B-NOPF-MUFAST,270935
135967,CMSH7-B-NOPF-MUFAST,270935
25501,CMSL7-A-NOPF-MUFAST,270935
4975040,CMSL7-B-NOPF-MUFAST,270935
12757,CMSL7-C-NOPF-MUFAST,270935
107506,CMUL7-B-NOPF-MUFAST,270935
2088,CPHI7-B-NOPF-CENT,270935
14518,CTRUE-A-NOPF-CENT,270935
67763,CTRUE-B-NOPF-CENT,270935
13889,CTRUE-C-NOPF-CENT,270935
1359,CTRUE-E-NOPF-CENT,270935
220279,CVHMV0M-B-NOPF-CENT,270935
