counts,trigger,run
167223,C0TVX-B-NOPF-CENT,274690
36495,CCALIB1-B-NOPF-CENT,274690
1349,CDMC7-B-NOPF-CENT,274690
27,CDMC7DG1-B-NOPF-CENT,274690
276,CDMC7DG2-B-NOPF-CENT,274690
5,CDMC7DJ1-B-NOPF-CENT,274690
9,CDMC7DJ2-B-NOPF-CENT,274690
2852,CEMC7-B-NOPF-CENT,274690
50,CEMC7EG1-B-NOPF-CENT,274690
561,CEMC7EG2-B-NOPF-CENT,274690
36,CEMC7EJ1-B-NOPF-CENT,274690
109,CEMC7EJ2-B-NOPF-CENT,274690
352359,CINT7-B-NOPF-CENT,274690
8019,CINT7-B-NOPF-MUFAST,274690
373,CINT7HJT-B-NOPF-TRDTEST,274690
144,CINT7HNU-B-NOPF-TRDTEST,274690
231,CINT7HQU-B-NOPF-TRDTEST,274690
5027,CMSH7-B-NOPF-MUFAST,274690
258,CMSL7-A-NOPF-MUFAST,274690
179474,CMSL7-B-NOPF-MUFAST,274690
60,CMSL7-C-NOPF-MUFAST,274690
4056,CMUL7-B-NOPF-MUFAST,274690
54,CPHI7-B-NOPF-CENT,274690
335,CTRUE-A-NOPF-CENTNOTRD,274690
1362,CTRUE-B-NOPF-CENTNOTRD,274690
385,CTRUE-C-NOPF-CENTNOTRD,274690
699,CTRUE-E-NOPF-CENTNOTRD,274690
733,CVHMV0M-B-NOPF-CENT,274690
30,CVHMV0M-B-SPD1-CENT,274690
400,C0LSR-ABCE-NOPF-CENTNOTRD,274708
5383452,C0TVX-B-NOPF-CENT,274708
1156580,CCALIB1-B-NOPF-CENT,274708
41555,CDMC7-B-NOPF-CENT,274708
697,CDMC7DG1-B-NOPF-CENT,274708
8237,CDMC7DG2-B-NOPF-CENT,274708
160,CDMC7DJ1-B-NOPF-CENT,274708
303,CDMC7DJ2-B-NOPF-CENT,274708
92027,CEMC7-B-NOPF-CENT,274708
1344,CEMC7EG1-B-NOPF-CENT,274708
17170,CEMC7EG2-B-NOPF-CENT,274708
1197,CEMC7EJ1-B-NOPF-CENT,274708
