counts,trigger,run
1299827,C0TVX-B-NOPF-CENT,278914
345195,CCALIB1-B-NOPF-CENT,278914
2675174,CINT7-B-NOPF-CENT,278914
61688,CINT7-B-NOPF-MUFAST,278914
5246,CMSH7-B-NOPF-MUFAST,278914
327,CMSL7-A-NOPF-MUFAST,278914
189175,CMSL7-B-NOPF-MUFAST,278914
228,CMSL7-C-NOPF-MUFAST,278914
4280,CMUL7-B-NOPF-MUFAST,278914
1371,CMUP6-B-NOPF-MUFAST,278914
415,CPHI7-B-NOPF-CENT,278914
2443,CTRUE-A-NOPF-CENTNOTRD,278914
11193,CTRUE-B-NOPF-CENTNOTRD,278914
2319,CTRUE-C-NOPF-CENTNOTRD,278914
2156,CTRUE-E-NOPF-CENTNOTRD,278914
6125,CVHMV0M-B-SPD2-CENT,278914
300,C0LSR-ABCE-NOPF-CENTNOTRD,278915
2851585,C0TVX-B-NOPF-CENT,278915
756281,CCALIB1-B-NOPF-CENT,278915
26282,CDMC7-B-NOPF-CENT,278915
519,CDMC7DG1-B-NOPF-CENT,278915
5642,CDMC7DG2-B-NOPF-CENT,278915
111,CDMC7DJ1-B-NOPF-CENT,278915
221,CDMC7DJ2-B-NOPF-CENT,278915
50733,CEMC7-B-NOPF-CENT,278915
737,CEMC7EG1-B-NOPF-CENT,278915
9208,CEMC7EG2-B-NOPF-CENT,278915
719,CEMC7EJ1-B-NOPF-CENT,278915
2061,CEMC7EJ2-B-NOPF-CENT,278915
5872508,CINT7-B-NOPF-CENT,278915
134566,CINT7-B-NOPF-MUFAST,278915
11251,CMSH7-B-NOPF-MUFAST,278915
787,CMSL7-A-NOPF-MUFAST,278915
416431,CMSL7-B-NOPF-MUFAST,278915
470,CMSL7-C-NOPF-MUFAST,278915
9129,CMUL7-B-NOPF-MUFAST,278915
2897,CMUP6-B-NOPF-MUFAST,278915
840,CPHI7-B-NOPF-CENT,278915
4891,CTRUE-A-NOPF-CENTNOTRD,278915
22453,CTRUE-B-NOPF-CENTNOTRD,278915
4989,CTRUE-C-NOPF-CENTNOTRD,278915
4686,CTRUE-E-NOPF-CENTNOTRD,278915
12992,CVHMV0M-B-SPD2-CENT,278915
400,C0LSR-ABCE-NOPF-CENTNOTRD,278936
5055589,C0TVX-B-NOPF-CENT,278936
1354258,CCALIB1-B-NOPF-CENT,278936
45140,CDMC7-B-NOPF-CENT,278936
831,CDMC7DG1-B-NOPF-CENT,278936
9368,CDMC7DG2-B-NOPF-CENT,278936
178,CDMC7DJ1-B-NOPF-CENT,278936
358,CDMC7DJ2-B-NOPF-CENT,278936
89352,CEMC7-B-NOPF-CENT,278936
1244,CEMC7EG1-B-NOPF-CENT,278936
15995,CEMC7EG2-B-NOPF-CENT,278936
1207,CEMC7EJ1-B-NOPF-CENT,278936
3531,CEMC7EJ2-B-NOPF-CENT,278936
10497166,CINT7-B-NOPF-CENT,278936
1648931,CINT7-B-NOPF-MUFAST,278936
137206,CMSH7-B-NOPF-MUFAST,278936
11821,CMSL7-A-NOPF-MUFAST,278936
5047576,CMSL7-B-NOPF-MUFAST,278936
1180,CMSL7-C-NOPF-MUFAST,278936
112622,CMUL7-B-NOPF-MUFAST,278936
83950,CMUP6-B-NOPF-MUFAST,278936
1486,CPHI7-B-NOPF-CENT,278936
11105,CTRUE-A-NOPF-CENTNOTRD,278936
41051,CTRUE-B-NOPF-CENTNOTRD,278936
12508,CTRUE-C-NOPF-CENTNOTRD,278936
845,CTRUE-E-NOPF-CENTNOTRD,278936
22547,CVHMV0M-B-SPD2-CENT,278936
100,C0LSR-ABCE-NOPF-CENTNOTRD,278939
888248,C0TVX-B-NOPF-CENT,278939
237417,CCALIB1-B-NOPF-CENT,278939
8026,CDMC7-B-NOPF-CENT,278939
161,CDMC7DG1-B-NOPF-CENT,278939
1695,CDMC7DG2-B-NOPF-CENT,278939
41,CDMC7DJ1-B-NOPF-CENT,278939
70,CDMC7DJ2-B-NOPF-CENT,278939
15749,CEMC7-B-NOPF-CENT,278939
205,CEMC7EG1-B-NOPF-CENT,278939
2872,CEMC7EG2-B-NOPF-CENT,278939
197,CEMC7EJ1-B-NOPF-CENT,278939
611,CEMC7EJ2-B-NOPF-CENT,278939
1839539,CINT7-B-NOPF-CENT,278939
278183,CINT7-B-NOPF-MUFAST,278939
23168,CMSH7-B-NOPF-MUFAST,278939
1892,CMSL7-A-NOPF-MUFAST,278939
854614,CMSL7-B-NOPF-MUFAST,278939
189,CMSL7-C-NOPF-MUFAST,278939
18996,CMUL7-B-NOPF-MUFAST,278939
12306,CMUP6-B-NOPF-MUFAST,278939
280,CPHI7-B-NOPF-CENT,278939
1794,CTRUE-A-NOPF-CENTNOTRD,278939
6837,CTRUE-B-NOPF-CENTNOTRD,278939
2091,CTRUE-C-NOPF-CENTNOTRD,278939
156,CTRUE-E-NOPF-CENTNOTRD,278939
3808,CVHMV0M-B-SPD2-CENT,278939
200,C0LSR-ABCE-NOPF-CENTNOTRD,278941
2454472,C0TVX-B-NOPF-CENT,278941
654279,CCALIB1-B-NOPF-CENT,278941
22102,CDMC7-B-NOPF-CENT,278941
411,CDMC7DG1-B-NOPF-CENT,278941
4655,CDMC7DG2-B-NOPF-CENT,278941
106,CDMC7DJ1-B-NOPF-CENT,278941
180,CDMC7DJ2-B-NOPF-CENT,278941
43046,CEMC7-B-NOPF-CENT,278941
606,CEMC7EG1-B-NOPF-CENT,278941
7849,CEMC7EG2-B-NOPF-CENT,278941
598,CEMC7EJ1-B-NOPF-CENT,278941
1729,CEMC7EJ2-B-NOPF-CENT,278941
5077134,CINT7-B-NOPF-CENT,278941
806808,CINT7-B-NOPF-MUFAST,278941
66895,CMSH7-B-NOPF-MUFAST,278941
5348,CMSL7-A-NOPF-MUFAST,278941
2473418,CMSL7-B-NOPF-MUFAST,278941
548,CMSL7-C-NOPF-MUFAST,278941
54628,CMUL7-B-NOPF-MUFAST,278941
36363,CMUP6-B-NOPF-MUFAST,278941
788,CPHI7-B-NOPF-CENT,278941
5410,CTRUE-A-NOPF-CENTNOTRD,278941
19493,CTRUE-B-NOPF-CENTNOTRD,278941
6118,CTRUE-C-NOPF-CENTNOTRD,278941
409,CTRUE-E-NOPF-CENTNOTRD,278941
10521,CVHMV0M-B-SPD2-CENT,278941
100,C0LSR-ABCE-NOPF-CENTNOTRD,278959
123752,C0TVX-B-NOPF-CENT,278959
123752,C0TVX-B-NOPF-CENTPMD,278959
27153,C0TVX-T-NOPF-CENT,278959
170008,CCALIB1-B-NOPF-CENT,278959
3917,CCUP13-B-SPD1-CENTNOTRD,278959
113113,CCUP25-B-SPD1-CENTNOTRD,278959
1907,CDMC7-B-NOPF-ALLNOTRD,278959
1080,CDMC7-B-NOPF-CENT,278959
10750,CDMC7DG1-B-NOPF-CENT,278959
13320,CDMC7DG1-B-NOPF-CENTNOTRD,278959
14255,CDMC7DG2-B-NOPF-CENT,278959
2551,CDMC7DJ1-B-NOPF-CENT,278959
3163,CDMC7DJ1-B-NOPF-CENTNOTRD,278959
532,CDMC7DJ2-B-NOPF-CENT,278959
858,CDMC7MSH-B-NOPF-ALLNOTRD,278959
4127,CDMC7MSL-B-NOPF-ALLNOTRD,278959
727,CDMC7MUL-B-NOPF-ALLNOTRD,278959
3559,CEMC7-B-NOPF-ALLNOTRD,278959
2205,CEMC7-B-NOPF-CENT,278959
15601,CEMC7EG1-B-NOPF-CENT,278959
19374,CEMC7EG1-B-NOPF-CENTNOTRD,278959
24374,CEMC7EG2-B-NOPF-CENT,278959
14970,CEMC7EJ1-B-NOPF-CENT,278959
18617,CEMC7EJ1-B-NOPF-CENTNOTRD,278959
5386,CEMC7EJ2-B-NOPF-CENT,278959
1646,CEMC7MSH-B-NOPF-ALLNOTRD,278959
8446,CEMC7MSL-B-NOPF-ALLNOTRD,278959
1469,CEMC7MUL-B-NOPF-ALLNOTRD,278959
12402,CEMC8EG1-B-NOPF-CENT,278959
15408,CEMC8EG1-B-NOPF-CENTNOTRD,278959
2803,CEMC8EG1-T-NOPF-CENT,278959
254703,CINT7-B-NOPF-CENT,278959
254703,CINT7-B-NOPF-CENTPMD,278959
49963,CINT7-B-NOPF-MUFAST,278959
56004,CINT7-T-NOPF-CENT,278959
7935,CINT7HJT-T-NOPF-CENT,278959
7589,CINT7HJT-T-SPD2-CENT,278959
23687,CINT7HNU-T-NOPF-CENT,278959
22445,CINT7HNU-T-SPD2-CENT,278959
69095,CINT7HQU-T-NOPF-CENT,278959
66141,CINT7HQU-T-SPD2-CENT,278959
39951,CMLL7-B-NOPF-MUFAST,278959
120099,CMSH7-B-NOPF-MUFAST,278959
7659,CMSL7-A-NOPF-MUFAST,278959
3901,CMSL7-B-NOPF-ALLNOTRD,278959
265502,CMSL7-B-NOPF-MUFAST,278959
1306,CMSL7-C-NOPF-MUFAST,278959
98472,CMUL7-B-NOPF-MUFAST,278959
53415,CMUP6-B-NOPF-MUFAST,278959
510,CPHI7-B-NOPF-ALLNOTRD,278959
19629,CPHI7-B-NOPF-CENT,278959
24286,CPHI7-B-NOPF-CENTNOTRD,278959
43,CPHI7MSH-B-NOPF-ALLNOTRD,278959
200,CPHI7MSL-B-NOPF-ALLNOTRD,278959
33,CPHI7MUL-B-NOPF-ALLNOTRD,278959
1792,CPHI7PHH-B-NOPF-CENTNOTRD,278959
11462,CPHI7PHL-B-NOPF-CENTNOTRD,278959
6448,CPHI7PHM-B-NOPF-CENTNOTRD,278959
1107,CPHI8PHH-B-NOPF-CENT,278959
1345,CPHI8PHH-B-NOPF-CENTNOTRD,278959
219,CPHI8PHH-T-NOPF-CENT,278959
2348,CTRUE-A-NOPF-CENTNOTRD,278959
7187,CTRUE-B-NOPF-CENTNOTRD,278959
6745,CTRUE-B-SPD1-CENTNOTRD,278959
2412,CTRUE-C-NOPF-CENTNOTRD,278959
1783,CTRUE-E-NOPF-CENTNOTRD,278959
286251,CVHMV0M-B-SPD2-CENT,278959
286251,CVHMV0M-B-SPD2-CENTPMD,278959
100,C0LSR-ABCE-NOPF-CENTNOTRD,278960
186389,C0TVX-B-NOPF-CENT,278960
184357,C0TVX-B-NOPF-CENTPMD,278960
41372,C0TVX-T-NOPF-CENT,278960
254751,CCALIB1-B-NOPF-CENT,278960
5872,CCUP13-B-SPD1-CENTNOTRD,278960
168909,CCUP25-B-SPD1-CENTNOTRD,278960
2829,CDMC7-B-NOPF-ALLNOTRD,278960
1599,CDMC7-B-NOPF-CENT,278960
14557,CDMC7DG1-B-NOPF-CENT,278960
18043,CDMC7DG1-B-NOPF-CENTNOTRD,278960
20325,CDMC7DG2-B-NOPF-CENT,278960
3344,CDMC7DJ1-B-NOPF-CENT,278960
4115,CDMC7DJ1-B-NOPF-CENTNOTRD,278960
748,CDMC7DJ2-B-NOPF-CENT,278960
5902,CEMC7-B-NOPF-ALLNOTRD,278960
3229,CEMC7-B-NOPF-CENT,278960
23319,CEMC7EG1-B-NOPF-CENT,278960
28923,CEMC7EG1-B-NOPF-CENTNOTRD,278960
36683,CEMC7EG2-B-NOPF-CENT,278960
22384,CEMC7EJ1-B-NOPF-CENT,278960
27721,CEMC7EJ1-B-NOPF-CENTNOTRD,278960
8043,CEMC7EJ2-B-NOPF-CENT,278960
18675,CEMC8EG1-B-NOPF-CENT,278960
23095,CEMC8EG1-B-NOPF-CENTNOTRD,278960
4149,CEMC8EG1-T-NOPF-CENT,278960
382357,CINT7-B-NOPF-CENT,278960
378276,CINT7-B-NOPF-CENTPMD,278960
85059,CINT7-B-NOPF-MUFAST,278960
