counts,trigger,run
100,C0LSR-ABCE-NOPF-CENTNOTRD,280234
7724,C0SH1-B-NOPF-CENTNOTRD,280234
75049,C1ZED-B-NOPF-UFAST,280234
39682,C1ZNC-B-NOPF-UFAST,280234
278,CCUP2-B-NOPF-CENTNOTRD,280234
1861,CCUP25-B-NOPF-CENTNOTRD,280234
1916,CCUP26-B-NOPF-CENTNOTRD,280234
39695,CCUP27-B-NOPF-CENTNOTRD,280234
22160,CINT7-B-NOPF-CENT,280234
22164,CINT7-B-NOPF-CENTNOTRD,280234
26579,CINT7-B-NOPF-MUFAST,280234
1,CINT7-E-NOPF-CENTNOTRD,280234
99478,CINT7ZAC-B-NOPF-CENT,280234
99487,CINT7ZAC-B-NOPF-CENTNOTRD,280234
49357,CMSL7-B-NOPF-MUFAST,280234
1905,CMUP24-B-NOPF-MUFAST,280234
177,CMUP25-B-NOPF-MUFAST,280234
4612,CTRUE-B-NOPF-CENT,280234
958,CTRUE-E-NOPF-CENT,280234
10479,CVBASMB-B-NOPF-CENT,280234
10481,CVBASMB-B-NOPF-CENTNOTRD,280234
2185,CVBCSMB-B-NOPF-CENT,280234
2185,CVBCSMB-B-NOPF-CENTNOTRD,280234
600,C0LSR-ABCE-NOPF-CENTNOTRD,280235
111003,C0SH1-B-NOPF-CENTNOTRD,280235
1293201,C1ZED-B-NOPF-UFAST,280235
684531,C1ZNC-B-NOPF-UFAST,280235
45235,CCUP2-B-NOPF-CENTNOTRD,280235
28708,CCUP25-B-NOPF-CENTNOTRD,280235
29676,CCUP26-B-NOPF-CENTNOTRD,280235
90302,CCUP27-B-NOPF-CENTNOTRD,280235
293046,CINT7-B-NOPF-CENT,280235
293073,CINT7-B-NOPF-CENTNOTRD,280235
329464,CINT7-B-NOPF-MUFAST,280235
4,CINT7-E-NOPF-CENTNOTRD,280235
1566766,CINT7ZAC-B-NOPF-CENT,280235
1566862,CINT7ZAC-B-NOPF-CENTNOTRD,280235
725697,CMSL7-B-NOPF-MUFAST,280235
32607,CMUP24-B-NOPF-MUFAST,280235
3291,CMUP25-B-NOPF-MUFAST,280235
96984,CTRUE-B-NOPF-CENT,280235
20466,CTRUE-E-NOPF-CENT,280235
135948,CVBASMB-B-NOPF-CENT,280235
135951,CVBASMB-B-NOPF-CENTNOTRD,280235
29484,CVBCSMB-B-NOPF-CENT,280235
29486,CVBCSMB-B-NOPF-CENTNOTRD,280235
